left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.4972654,0.17301787,0.5007715,0.17861329,0.5346085,0.1418589,0.5367554,0.14542362,0.54420555,0.11012272,0.5464438,0.10798576,0.64234436,0.18236029,0.640033,0.18952869,0.7364787,0.16618985,0.717423,0.17327139,0.85595685,0.167923,0.8074256,0.18502381,backhand
0.49820518,0.17503367,0.4999683,0.17806108,0.5333347,0.14686868,0.5362916,0.14847463,0.5419536,0.111965224,0.5486166,0.11143205,0.6422735,0.18415423,0.64008236,0.18951663,0.7367424,0.16875926,0.7200124,0.17396216,0.8545492,0.1700299,0.8098456,0.18267111,backhand
0.49780566,0.18040247,0.5010907,0.17607966,0.53449327,0.15687464,0.5387113,0.14919488,0.54495156,0.12153526,0.55207926,0.11192691,0.643037,0.18856232,0.64209497,0.18870142,0.73776346,0.17046663,0.7212542,0.17405438,0.8546554,0.1721991,0.80934703,0.18359855,backhand
0.4980854,0.18342426,0.5017593,0.17820302,0.53726476,0.16241604,0.53862053,0.15468262,0.5483942,0.12859735,0.5541573,0.11943843,0.64378774,0.18985769,0.6428797,0.18912728,0.7399669,0.1723011,0.7210593,0.17414318,0.8547091,0.17405163,0.8103656,0.18304467,backhand
0.49858865,0.18661498,0.503783,0.18082795,0.5384405,0.16446468,0.54498976,0.15547517,0.5503941,0.13352492,0.5573179,0.1262054,0.6448903,0.19214448,0.6438001,0.18937545,0.74069035,0.17273831,0.72234285,0.17444544,0.8546196,0.17620751,0.811399,0.18342452,backhand
0.4986778,0.19087785,0.5057837,0.1799668,0.5491165,0.17128433,0.5521825,0.15759316,0.55975103,0.13966678,0.5610208,0.128521,0.6453082,0.19424972,0.6442723,0.18977647,0.7407293,0.1732261,0.7228785,0.17461272,0.85455215,0.17848606,0.81292546,0.18475783,backhand
0.5025024,0.19282076,0.5080811,0.1840345,0.5587463,0.17602554,0.5619907,0.16477987,0.5739642,0.14325061,0.5771479,0.13334425,0.64823157,0.19293669,0.64650655,0.19220847,0.7403417,0.17301992,0.7241972,0.17452686,0.85331786,0.18145211,0.81764907,0.18517178,backhand
0.5123239,0.19374488,0.51268005,0.19050422,0.5728869,0.17424203,0.5717694,0.1708531,0.5924979,0.14361829,0.596367,0.14354864,0.65163404,0.19357464,0.6482183,0.19454612,0.73655576,0.17209737,0.72133195,0.17432958,0.84929216,0.181344,0.8135281,0.18631107,backhand
0.5186268,0.19330224,0.51780576,0.1952999,0.58128375,0.17280072,0.5761197,0.17375591,0.6050212,0.14668144,0.6053596,0.14981905,0.65160817,0.19415982,0.64822763,0.19762747,0.73447746,0.17201021,0.71389115,0.17441608,0.84428924,0.18000354,0.8035803,0.18801735,backhand
0.51975816,0.1935457,0.5176856,0.20214303,0.58004093,0.17232902,0.5734199,0.17430109,0.617494,0.14671186,0.6082031,0.14904429,0.65197504,0.19365308,0.6485593,0.20162427,0.73002845,0.16965076,0.71529603,0.17574115,0.83816606,0.17973736,0.8031767,0.19047879,backhand
0.5172683,0.1937013,0.5168113,0.21119407,0.57449716,0.17305025,0.5747049,0.18898097,0.6142401,0.15005633,0.6034176,0.15937187,0.6459391,0.19305266,0.6474182,0.20439005,0.7256293,0.16737106,0.7152543,0.17849363,0.82932967,0.18299365,0.8046779,0.19550519,backhand
0.50990313,0.19326031,0.5118893,0.22477499,0.5690556,0.17441055,0.57237697,0.21056578,0.6029957,0.15100265,0.5974751,0.1846846,0.6437054,0.1928823,0.64579475,0.20821711,0.72674745,0.16970631,0.71527636,0.18525368,0.8294671,0.1882012,0.80225533,0.1973793,backhand
0.50487554,0.19244434,0.5120786,0.22854607,0.5544652,0.1731073,0.5604048,0.21014485,0.57651645,0.15566406,0.57033986,0.17863585,0.64444107,0.19285311,0.64586645,0.21114051,0.72664136,0.17730057,0.71595865,0.19394895,0.81971544,0.19760582,0.80339235,0.19848712,backhand
0.50024545,0.19227885,0.511493,0.23033102,0.53309226,0.17956305,0.5445377,0.22141476,0.52792305,0.18599056,0.5254911,0.20153168,0.64375275,0.19264573,0.6450673,0.2115949,0.7266268,0.18384466,0.71935695,0.1982235,0.81462955,0.2088112,0.8060493,0.20191249,backhand
0.49556163,0.19175826,0.5108318,0.23321578,0.5342564,0.19804409,0.54907924,0.23681378,0.5214957,0.21233428,0.53436023,0.22064146,0.6426307,0.19237658,0.64457065,0.21293274,0.72719216,0.1892788,0.7242708,0.20158832,0.81700903,0.21926904,0.81096613,0.20435143,backhand
0.49072865,0.1924136,0.49999455,0.2303727,0.48595402,0.21211083,0.53623337,0.24878916,0.46887556,0.23629224,0.5006065,0.24482647,0.63977337,0.19409774,0.6408201,0.21453002,0.7268341,0.19532785,0.723992,0.20498943,0.8138304,0.22438402,0.811155,0.20563197,backhand
0.48617154,0.19388177,0.49468523,0.23158185,0.4785169,0.22127637,0.52811056,0.25815368,0.45798272,0.24859133,0.48355246,0.26159465,0.63450336,0.19649032,0.63479555,0.21747053,0.720194,0.19814911,0.719682,0.20888369,0.8131887,0.22621818,0.8110876,0.21004024,backhand
0.48521808,0.19484586,0.4923145,0.23301852,0.47763315,0.2248306,0.52649444,0.26585653,0.45757812,0.25507838,0.48132578,0.27156597,0.6329095,0.19863941,0.6334769,0.21965215,0.7184355,0.20046425,0.7179593,0.211098,0.81355804,0.22646236,0.8109354,0.21146087,backhand
0.48512408,0.19665872,0.4938537,0.23507233,0.4831315,0.2228101,0.52448356,0.27208346,0.4628566,0.24851756,0.4822492,0.27693146,0.6338293,0.20041141,0.634007,0.22149453,0.71774757,0.20141916,0.7176978,0.21398309,0.8144444,0.22581251,0.81102914,0.21378084,backhand
0.4823473,0.1995012,0.49242213,0.23725311,0.47545004,0.22709838,0.51935905,0.27392384,0.45780626,0.2576128,0.47949538,0.27956006,0.6345124,0.20195349,0.6346099,0.22434473,0.71736974,0.20249999,0.7177814,0.2183003,0.80657715,0.2213883,0.8110193,0.21665463,backhand
0.48269334,0.20032501,0.49250984,0.24258526,0.4726983,0.22443274,0.5226921,0.27802086,0.4586048,0.25508365,0.47580677,0.27875698,0.6368946,0.2037319,0.6375957,0.22754693,0.7185854,0.20333798,0.7204401,0.22187027,0.8058293,0.2191561,0.8112518,0.21759231,backhand
0.48412684,0.20143875,0.49403745,0.2416682,0.4808147,0.22564447,0.5200404,0.27650845,0.46520075,0.25277472,0.4841152,0.27448088,0.64399815,0.20563617,0.64271295,0.22986157,0.7192272,0.20263866,0.72521365,0.22319064,0.8043181,0.2188681,0.8116702,0.218793,backhand
0.48423764,0.20464972,0.4963453,0.24345854,0.48426536,0.22448972,0.5236953,0.2754211,0.46622157,0.24996158,0.48873076,0.2722681,0.64592415,0.20757177,0.6452142,0.23269212,0.71909976,0.20460129,0.7279705,0.22686175,0.7998475,0.21829517,0.8141719,0.22088817,backhand
0.4861076,0.20773928,0.49940282,0.24410269,0.48620483,0.22567205,0.5251392,0.2713889,0.47243258,0.24924473,0.48940802,0.26982516,0.64942986,0.21035096,0.6493779,0.23505414,0.7178415,0.20633122,0.7308781,0.2288223,0.79647624,0.21893592,0.81718266,0.22340445,backhand
