left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.5742278,0.23856382,0.57779336,0.22041428,0.58434623,0.26510713,0.60818213,0.21652314,0.554136,0.27857512,0.58800805,0.24266128,0.71681577,0.21827015,0.7216233,0.22311589,0.8050162,0.20202477,0.77255875,0.27433747,0.8481656,0.15129729,0.8863027,0.27322048,forehand
0.5730181,0.2320602,0.57635355,0.20939524,0.5819274,0.25684786,0.6073235,0.20527677,0.56492215,0.26719582,0.5925912,0.22729787,0.7129745,0.21196325,0.71809554,0.21048097,0.8022549,0.19169542,0.77271056,0.26335776,0.8497893,0.14766678,0.88631415,0.27250987,forehand
0.56696343,0.21818645,0.56905717,0.19675222,0.584926,0.240292,0.6120065,0.18196206,0.57408696,0.25940296,0.6009577,0.2107769,0.7072245,0.19762264,0.71177167,0.19736765,0.792173,0.18451932,0.7736386,0.24511954,0.8506116,0.14523584,0.88516355,0.26837707,forehand
0.56645733,0.2081546,0.5648745,0.18379101,0.5880122,0.23250122,0.61603063,0.17087133,0.5880102,0.25925666,0.62040514,0.19259456,0.6978599,0.18764253,0.7013651,0.18142352,0.78417486,0.18331088,0.78053445,0.23253939,0.8503446,0.14427468,0.8845213,0.25852183,forehand
0.56615734,0.20053403,0.56202775,0.17261554,0.5896454,0.22670276,0.6160828,0.16293666,0.59901714,0.25710872,0.641253,0.17610088,0.6920276,0.18040445,0.6938616,0.1682863,0.7771474,0.18720797,0.77995455,0.21491209,0.84633315,0.14141272,0.8813678,0.24299678,forehand
0.5597846,0.17838469,0.5602259,0.17094368,0.5897898,0.21503468,0.61262065,0.15598987,0.6015522,0.24925752,0.6565113,0.16045173,0.68854135,0.1580078,0.69183064,0.16653065,0.77274466,0.16553083,0.77362967,0.20486799,0.8467118,0.13383846,0.8783944,0.22678328,forehand
0.55217373,0.16642745,0.550628,0.15492097,0.5889226,0.19570658,0.6096716,0.14845784,0.5977949,0.23116975,0.66424567,0.15762915,0.6865149,0.14806281,0.68743896,0.15165171,0.77038693,0.15873705,0.76332676,0.19795439,0.85051453,0.13069606,0.8736964,0.21247247,forehand
0.5377544,0.14768699,0.5430698,0.15185739,0.579746,0.16923623,0.6077773,0.14723817,0.5745352,0.20662317,0.67076945,0.15889288,0.6816362,0.14048956,0.68336904,0.14473942,0.75864506,0.17527768,0.76552635,0.15740696,0.8622829,0.18844035,0.86153895,0.12905213,forehand
0.5223996,0.12866262,0.54188246,0.14843288,0.5553813,0.14420357,0.6087126,0.15205891,0.54776794,0.17416373,0.6694191,0.16718319,0.6729043,0.12674382,0.6761089,0.1459528,0.7593784,0.14176178,0.7615708,0.16870387,0.8608746,0.13183638,0.86189246,0.178831,forehand
0.5115234,0.11304809,0.54038155,0.14965051,0.5565142,0.12852651,0.61024636,0.16145357,0.53468925,0.14942953,0.66591597,0.18025646,0.66196376,0.11506562,0.6626745,0.13990197,0.74922585,0.13092035,0.74904114,0.16069534,0.85196304,0.12695965,0.85370797,0.1679246,forehand
