left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.45261064,0.38602072,0.44821036,0.43501407,0.5267841,0.38622254,0.5148827,0.44284743,0.52494085,0.37293488,0.5247953,0.41892213,0.59301084,0.40963808,0.5895862,0.43788618,0.66001755,0.37524316,0.6597917,0.45812297,0.7630766,0.39210767,0.7502981,0.47720528,neutral
0.451336,0.3815124,0.44740123,0.43346485,0.52505404,0.37636283,0.5144616,0.44390073,0.5271297,0.36902314,0.52720183,0.42142516,0.592706,0.4036109,0.5884161,0.43315998,0.66797364,0.37708455,0.6599315,0.4548944,0.772617,0.39067632,0.7524048,0.4768693,neutral
0.45070475,0.37661618,0.4478091,0.430775,0.52665144,0.37021318,0.51780516,0.44330826,0.52298236,0.36940277,0.5257105,0.42079273,0.59266466,0.39708084,0.588098,0.42822796,0.6764577,0.3783965,0.6628661,0.45072335,0.78021115,0.39183447,0.7611106,0.47645316,neutral
0.45081186,0.37295488,0.45080096,0.4287015,0.52719456,0.36734247,0.52287084,0.4417333,0.5227919,0.36830142,0.52675605,0.418372,0.59382117,0.39275944,0.5896388,0.4246592,0.67959875,0.37791234,0.6655007,0.4458274,0.7815646,0.39223236,0.7637389,0.47293395,neutral
0.45051777,0.3705978,0.4515912,0.42663032,0.5273575,0.36392528,0.52331334,0.44102293,0.52844465,0.36964747,0.534548,0.41730705,0.5949375,0.38919133,0.5902895,0.42018265,0.6826167,0.37814084,0.6678792,0.43939847,0.7844864,0.39233556,0.7680499,0.46739784,neutral
0.44733146,0.36954296,0.45098373,0.42503023,0.525884,0.3626636,0.52120894,0.4407359,0.525646,0.3704576,0.5327943,0.41689867,0.5945235,0.38662195,0.589992,0.41789523,0.6824161,0.3787307,0.66911197,0.43482715,0.78544945,0.39264315,0.76921284,0.45892605,neutral
0.43967742,0.36837533,0.4446641,0.42469972,0.5209368,0.3617943,0.52083796,0.44065517,0.5203544,0.37059128,0.53174424,0.4165415,0.5909642,0.38367113,0.58648753,0.41550907,0.6816021,0.37960422,0.66873085,0.43294564,0.78410125,0.3926128,0.7694107,0.4523111,neutral
0.4287818,0.36794528,0.4354185,0.42438656,0.51212823,0.36144668,0.5120896,0.44044098,0.5160002,0.37100232,0.5311946,0.41643357,0.5859617,0.38224775,0.5815442,0.4145913,0.68023217,0.3796355,0.6683316,0.43153745,0.78386635,0.3907875,0.76898456,0.44663063,neutral
0.42203394,0.36705315,0.4270424,0.4240663,0.5061893,0.36022702,0.50354403,0.43929023,0.50405306,0.3696409,0.5266771,0.4183556,0.581858,0.38101125,0.5779486,0.41355315,0.68026394,0.3796291,0.6647024,0.4300797,0.78306454,0.38685185,0.76707083,0.4431571,neutral
0.4184205,0.3657326,0.42072698,0.42353338,0.5004499,0.3589528,0.49732226,0.43806934,0.49407437,0.37009597,0.52122694,0.4189813,0.57773185,0.3796381,0.5745875,0.41262746,0.6800356,0.37793115,0.6607457,0.4289221,0.7829023,0.38135064,0.7662699,0.44139504,neutral
