left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.34036124,0.57450634,0.37389845,0.54489297,0.393847,0.590517,0.4282379,0.545445,0.36934942,0.54833347,0.3784852,0.5304095,0.54056984,0.58488786,0.54151803,0.5749235,0.6800066,0.5543162,0.6537488,0.5611938,0.8267768,0.5886105,0.73048186,0.6021878,backhand
0.3406803,0.58068633,0.37338054,0.5509738,0.3941353,0.59834963,0.43397784,0.5497188,0.37029076,0.5568388,0.380715,0.54170704,0.5402071,0.5859984,0.54134333,0.57850915,0.6763878,0.5588,0.6542025,0.56698215,0.8264351,0.5886115,0.73578763,0.60559946,backhand
0.33824947,0.5882639,0.36821166,0.55448675,0.39479867,0.60680854,0.43420273,0.54911023,0.37372738,0.56686515,0.38694733,0.55074143,0.5374193,0.5889174,0.5399542,0.5805371,0.67492276,0.56321627,0.65430933,0.5718749,0.82626164,0.5896522,0.7389822,0.60796946,backhand
0.33600298,0.59174174,0.36696848,0.5536896,0.3982303,0.61247414,0.43454263,0.55747,0.38157937,0.5733688,0.38522097,0.56101406,0.5369461,0.5905465,0.539389,0.5824837,0.67321724,0.565845,0.65449375,0.5761423,0.8275143,0.5914366,0.7455531,0.6107009,backhand
0.33656925,0.5912607,0.3667922,0.55495024,0.40001076,0.6145094,0.43477935,0.5606165,0.38857,0.58070993,0.38882208,0.57103026,0.5367457,0.59446734,0.53888285,0.5849309,0.6697783,0.56653196,0.6572352,0.58139694,0.82743776,0.5905589,0.7598241,0.6143354,backhand
0.33709687,0.5943655,0.3666865,0.55818546,0.40250033,0.61560833,0.43607458,0.564942,0.40883788,0.5848304,0.42354974,0.5682516,0.5329162,0.5975266,0.5369393,0.5872574,0.66536486,0.5668926,0.65935284,0.58329636,0.8255984,0.58841825,0.76368153,0.61964697,backhand
0.3357424,0.59840286,0.3673916,0.56019634,0.41282192,0.60131145,0.44065517,0.5709051,0.4391586,0.5830386,0.42561552,0.57874703,0.52494746,0.5999808,0.5313471,0.5932866,0.66248125,0.56889355,0.6583599,0.5862792,0.82511467,0.58687586,0.7648496,0.6222239,backhand
0.3393511,0.5966624,0.36715388,0.56896824,0.41423726,0.5974102,0.43907547,0.56429464,0.46295345,0.5803088,0.44773582,0.5643197,0.52037704,0.5990517,0.5255479,0.5964231,0.6585873,0.5707548,0.646685,0.58746177,0.8193211,0.58607745,0.7634897,0.6219787,backhand
0.33976525,0.5917448,0.36364034,0.5855385,0.40693143,0.5943542,0.43697464,0.5634675,0.47069126,0.5704295,0.47090805,0.5576416,0.5216567,0.59606767,0.52440643,0.6066121,0.6548858,0.57562536,0.64203316,0.5884008,0.8107382,0.58672315,0.7626885,0.62113845,backhand
0.33829048,0.58782244,0.36076164,0.5996549,0.39611936,0.5777499,0.43396878,0.5965295,0.45554736,0.5544669,0.47408533,0.5694822,0.51439804,0.59796536,0.5198182,0.6171217,0.64457697,0.5803363,0.63390374,0.5975369,0.8047225,0.59374815,0.754451,0.6230178,backhand
