left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.37339133,0.34225675,0.37300402,0.35546845,0.371752,0.3815908,0.37421912,0.39411741,0.34098557,0.42129025,0.34355658,0.44033676,0.55123395,0.30121645,0.5541073,0.31190243,0.6699571,0.33707213,0.6706434,0.35309592,0.7816477,0.29724348,0.80889887,0.30736703,forehand
0.38112792,0.3397626,0.37425113,0.35017583,0.36896947,0.38275132,0.36973634,0.39359257,0.34380955,0.42141953,0.34313843,0.43539315,0.55369425,0.29912394,0.55643195,0.30705565,0.67057425,0.33270234,0.67601055,0.34445125,0.7715032,0.28537124,0.8127219,0.3032009,forehand
0.38660377,0.34367332,0.37952235,0.33841553,0.376839,0.384726,0.38140568,0.36711767,0.34858167,0.42545706,0.35440332,0.4145454,0.5568412,0.29818088,0.5596417,0.29702002,0.6712742,0.32701832,0.681369,0.33949065,0.7671462,0.27299324,0.82040626,0.3003773,forehand
0.40335572,0.34672284,0.39145377,0.33279914,0.38194114,0.3968925,0.38864738,0.3573499,0.3542065,0.4390095,0.35849413,0.394639,0.5650178,0.29474944,0.5676905,0.29008764,0.6722312,0.32300565,0.68485886,0.33574563,0.7640261,0.265432,0.8253374,0.29821438,forehand
0.41211754,0.34139383,0.3999918,0.33465743,0.39079398,0.3939629,0.38724005,0.37302253,0.37516525,0.43878096,0.36668313,0.428327,0.57215434,0.2866595,0.5776208,0.28762445,0.67241424,0.32013476,0.68626314,0.33466482,0.7598501,0.26052305,0.82807326,0.2971119,forehand
0.418438,0.33719653,0.40914324,0.33253023,0.4110028,0.39306515,0.38957062,0.3777033,0.40108943,0.4434518,0.3767366,0.4382928,0.57784796,0.28038472,0.58676356,0.28624153,0.67309254,0.3090203,0.68755513,0.33514243,0.75719136,0.25541118,0.8311938,0.29568493,forehand
0.4184244,0.32056296,0.41924044,0.33667308,0.42657042,0.3658722,0.41807225,0.37842745,0.43833494,0.3968323,0.4179724,0.4419206,0.58073324,0.2699724,0.5929264,0.28531426,0.6715563,0.30198914,0.68830866,0.33593795,0.75625455,0.25425524,0.8320634,0.2976678,forehand
0.42404887,0.31139278,0.4297164,0.33395696,0.46014786,0.34174633,0.43984577,0.3800537,0.4649958,0.3794274,0.440903,0.44009766,0.58500326,0.2655951,0.59900427,0.28330594,0.6661116,0.2936878,0.68871945,0.333431,0.75757414,0.25150555,0.83211815,0.29815525,forehand
0.42798263,0.3184695,0.43089053,0.32291585,0.45204404,0.36588705,0.46459833,0.31598493,0.46487495,0.42241535,0.4677979,0.33920813,0.58539253,0.26298892,0.5993791,0.28007674,0.66483635,0.2919134,0.6883978,0.32913268,0.75827485,0.24761525,0.8318705,0.2992322,forehand
0.4265217,0.32028025,0.42784467,0.3246594,0.46149462,0.36697382,0.48108333,0.2978218,0.4733927,0.42239118,0.5021988,0.3165157,0.58365715,0.25855154,0.5967386,0.2752164,0.6645678,0.2852956,0.6881603,0.3245048,0.7579458,0.24629681,0.83139896,0.2993938,forehand
0.4290104,0.32129696,0.43021,0.3179565,0.46011493,0.3649426,0.486447,0.29236254,0.48056248,0.41187373,0.5239359,0.3030366,0.5835044,0.2572543,0.59466386,0.2692769,0.6630838,0.28132963,0.6879226,0.31893528,0.75939506,0.24594359,0.82968426,0.29871708,forehand
0.42590582,0.3112802,0.43450668,0.31522176,0.460374,0.34657186,0.49751264,0.2933804,0.47660202,0.39152712,0.5507119,0.2959258,0.5814239,0.25247046,0.5941218,0.26762652,0.6608214,0.27546054,0.687356,0.31445217,0.7601708,0.24373694,0.8279718,0.2977018,forehand
0.41280717,0.3012004,0.43361744,0.3134823,0.4553272,0.3257732,0.5089227,0.30021596,0.4671663,0.36458272,0.5698557,0.3034238,0.5735147,0.2471607,0.5907282,0.269206,0.6565656,0.27022815,0.68705356,0.3079787,0.76024526,0.24211149,0.82618225,0.2987547,forehand
0.39304644,0.2885198,0.43561375,0.31647998,0.45085806,0.3014439,0.5182033,0.30883747,0.46242493,0.33419022,0.587259,0.3157214,0.56616694,0.24578676,0.58756506,0.2734542,0.6550206,0.26298016,0.6816473,0.3016588,0.7605541,0.24057707,0.8202542,0.2993914,forehand
0.3788676,0.27464825,0.43301278,0.31917077,0.41673025,0.26339906,0.51215535,0.31628546,0.39576688,0.27820867,0.602399,0.33180225,0.56055003,0.24519357,0.5836696,0.275332,0.65113443,0.25731885,0.6822122,0.29776126,0.76078653,0.24105978,0.81504524,0.2997479,forehand
0.3682153,0.26746076,0.42642522,0.3193081,0.40987128,0.24506226,0.50418055,0.3365577,0.4139346,0.27304122,0.5823499,0.35885653,0.5482628,0.245768,0.5673604,0.27575675,0.6492029,0.2537,0.6754649,0.29285532,0.76209265,0.24096553,0.80728567,0.29923162,forehand
0.36743736,0.26668027,0.42533073,0.32033083,0.40923983,0.24000552,0.49726325,0.34386444,0.414314,0.26245838,0.55690897,0.38050422,0.5460603,0.24525806,0.56143004,0.27673423,0.64779186,0.25155467,0.6685786,0.29215708,0.76219696,0.24111278,0.79584324,0.29968804,forehand
0.36249933,0.26453018,0.41640893,0.31737489,0.4087067,0.23654874,0.48239088,0.34411162,0.4025909,0.26151666,0.5000289,0.37818354,0.54096794,0.24507208,0.55388194,0.27692923,0.64647293,0.2484297,0.6597982,0.29057565,0.76226586,0.24064267,0.78879565,0.30007267,forehand
0.35861996,0.26354495,0.40862325,0.31526047,0.41247562,0.23852482,0.45806345,0.34136868,0.39637443,0.2610553,0.43272993,0.36870322,0.54109657,0.24543378,0.5529042,0.2773227,0.64797723,0.24519643,0.65998393,0.29094473,0.7623201,0.24030976,0.78547895,0.30032927,forehand
0.35789353,0.26214716,0.39595997,0.31523782,0.419676,0.23574622,0.44077957,0.33969498,0.40496948,0.254924,0.3768349,0.33565623,0.54055536,0.24571791,0.55079436,0.27790335,0.6487855,0.24546127,0.66053355,0.28955072,0.7624765,0.2403008,0.7837181,0.30046016,forehand
0.3543332,0.2626719,0.3895342,0.31531385,0.42328963,0.23781982,0.4434683,0.31297007,0.4088765,0.25562185,0.4029319,0.3040205,0.5377493,0.24622257,0.54765594,0.27899414,0.6494443,0.2455916,0.65845084,0.28792763,0.7633232,0.239893,0.77914506,0.3012206,forehand
0.3512591,0.26381055,0.38218445,0.31594542,0.42331034,0.2380594,0.4227764,0.29640806,0.43339154,0.2507719,0.3932721,0.2741926,0.53286177,0.24684712,0.54306126,0.28044444,0.6488567,0.24663952,0.656921,0.2879067,0.76465404,0.24032278,0.7774548,0.3029731,forehand
0.34884036,0.26364118,0.3755913,0.3166874,0.42404237,0.23944655,0.41740015,0.28960443,0.43338567,0.2515703,0.39146808,0.26988536,0.52806425,0.2481085,0.53939664,0.28327295,0.6465424,0.24735308,0.6549849,0.28863794,0.76509035,0.24068841,0.7721471,0.3044023,forehand
0.3503645,0.2653299,0.37101418,0.31691915,0.4254351,0.24027963,0.40442485,0.28491598,0.43223965,0.24705799,0.3706725,0.25931928,0.52450347,0.2516832,0.5357843,0.2865955,0.6453819,0.24788192,0.65253615,0.28950766,0.7653837,0.24073839,0.7655116,0.30537245,forehand
