left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.32602513,0.5295497,0.3419305,0.5680791,0.4029574,0.5088869,0.42182463,0.56726396,0.35085958,0.5138287,0.42452046,0.5550846,0.5235761,0.53261477,0.52508557,0.558021,0.6310084,0.49735776,0.6393837,0.54867053,0.76288587,0.53412545,0.77077067,0.5582263,neutral
0.3253464,0.525606,0.34187248,0.56582475,0.4031919,0.50701463,0.42165583,0.5672785,0.3534846,0.5123802,0.42899,0.55386513,0.5235674,0.5294759,0.52548146,0.5557879,0.6308221,0.4951434,0.6392917,0.5482209,0.76951414,0.519894,0.77273995,0.5582206,neutral
0.32547867,0.5213579,0.34488222,0.5658353,0.40433833,0.50241315,0.42689106,0.56765455,0.35485438,0.5092153,0.4305094,0.5513056,0.523648,0.52601635,0.5258106,0.5539547,0.6322942,0.49692082,0.63940436,0.54825985,0.7749467,0.5073917,0.7741745,0.5575491,neutral
0.32521546,0.5158037,0.34515435,0.5648701,0.4058904,0.4993713,0.4327978,0.56703913,0.37790868,0.5018289,0.43523052,0.5497934,0.523613,0.52222884,0.5257578,0.55169547,0.6353475,0.49746504,0.63960034,0.5482128,0.78086364,0.49562544,0.7760949,0.55745274,neutral
0.32525158,0.5112566,0.34574372,0.56320184,0.407216,0.49576455,0.43598828,0.5658222,0.38521376,0.4973104,0.44390836,0.54741085,0.52359706,0.51963276,0.52574503,0.5495515,0.642211,0.4973212,0.64093256,0.5480044,0.78569126,0.4857998,0.7778399,0.5575839,neutral
0.32513925,0.5053042,0.3457247,0.56026447,0.40835303,0.4913795,0.43984184,0.5649787,0.39381507,0.4921884,0.46466845,0.54738533,0.5234731,0.5167733,0.5251797,0.54751897,0.64834905,0.4963274,0.64232767,0.5473585,0.7875078,0.48029184,0.7791322,0.557408,neutral
0.3290027,0.4994244,0.34789968,0.5568919,0.41436243,0.4848462,0.44568947,0.5637106,0.39859247,0.4919868,0.4834339,0.54823893,0.52450275,0.51296604,0.525511,0.5451404,0.65187,0.49453798,0.6437142,0.54604656,0.7878078,0.4773038,0.779695,0.55727106,neutral
0.32946548,0.49486798,0.3484032,0.5532352,0.4169467,0.4810234,0.44433022,0.5614711,0.40647036,0.484898,0.50978476,0.55189216,0.5237147,0.5111344,0.52458125,0.54205143,0.6520118,0.49269032,0.64405745,0.5434786,0.78762,0.4767581,0.7801372,0.55692875,neutral
0.32962435,0.49080032,0.34813812,0.550632,0.4193105,0.47888142,0.442733,0.559494,0.41217482,0.48084378,0.51254684,0.55525136,0.52094775,0.5070923,0.52127963,0.5387251,0.6528719,0.4912406,0.64417994,0.54146284,0.787631,0.47658053,0.78016156,0.5566816,neutral
0.33054748,0.48573193,0.3477519,0.5464723,0.42165884,0.47584915,0.441704,0.5571984,0.41815558,0.4836762,0.5147327,0.55788434,0.5186648,0.5033122,0.5183071,0.5359468,0.6547408,0.489415,0.64435714,0.53919935,0.78882504,0.4758432,0.78012866,0.5561231,neutral
