left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.25363186,0.45243064,0.29277834,0.41701636,0.30282977,0.45167524,0.3519532,0.39298064,0.260231,0.4085167,0.31010368,0.37181404,0.45962837,0.46535283,0.46023673,0.44634357,0.601889,0.4516142,0.58170736,0.4339822,0.76290995,0.46018186,0.70614266,0.43518716,backhand
0.25294793,0.44980755,0.29411837,0.41257182,0.29917407,0.4577109,0.35152146,0.39298105,0.25284535,0.4109025,0.30766574,0.376406,0.45980597,0.4609746,0.46063414,0.4396997,0.6002785,0.44737378,0.58212423,0.43152672,0.76256967,0.45925593,0.7049111,0.42312127,backhand
0.2521971,0.44883475,0.29227805,0.40785784,0.2982847,0.46740454,0.3472098,0.39124194,0.2542614,0.41991696,0.30803162,0.37834066,0.45954242,0.45751387,0.46074283,0.43457288,0.6003856,0.4437903,0.5822979,0.42559972,0.7617956,0.45783877,0.7038032,0.41468042,backhand
0.2521794,0.44637114,0.28934956,0.4053312,0.30303267,0.47481862,0.3459925,0.3894139,0.25756362,0.42811543,0.3055588,0.37776405,0.4595804,0.45212212,0.461636,0.42998376,0.6007341,0.44028717,0.5817547,0.41810027,0.7614427,0.45813552,0.7013282,0.407734,backhand
0.24626309,0.43420848,0.27998024,0.402134,0.3057691,0.47279963,0.34030315,0.39122832,0.26101667,0.4342277,0.3045306,0.3803864,0.45858583,0.44561237,0.46071324,0.42948017,0.6008498,0.43752703,0.5786613,0.41032085,0.7611648,0.458311,0.7012627,0.40346742,backhand
0.25092128,0.43513307,0.27932122,0.40680844,0.31678376,0.473207,0.34171313,0.39481935,0.26333568,0.43551677,0.3100105,0.38105568,0.45995864,0.43984395,0.4615977,0.4270553,0.6015365,0.43335485,0.5756728,0.40271503,0.7598907,0.45746237,0.7015661,0.40361008,backhand
0.25644812,0.43270713,0.28278202,0.3970379,0.32866448,0.47250882,0.34300572,0.3880931,0.28529978,0.4358561,0.31277937,0.37608048,0.4606581,0.43758664,0.4627049,0.42062712,0.59942204,0.42361015,0.57117194,0.39684597,0.75436676,0.45239967,0.69815063,0.402636,backhand
0.2618242,0.42243552,0.282256,0.40059933,0.33733162,0.47107697,0.33070773,0.38766494,0.32061583,0.43468395,0.31422472,0.37162793,0.46077317,0.42949075,0.4627313,0.42219433,0.5936058,0.41321927,0.5686014,0.39687973,0.74525726,0.4461519,0.6959979,0.40607285,backhand
0.26273188,0.41643015,0.27865127,0.40273052,0.3401393,0.4638296,0.3252351,0.38893467,0.35245326,0.4271149,0.3206331,0.3610471,0.45144805,0.42377168,0.454529,0.42199993,0.58876115,0.4087448,0.5680154,0.4001456,0.73555773,0.44253206,0.69552135,0.4057954,backhand
0.2700946,0.39146808,0.27321106,0.41306266,0.34720653,0.3905247,0.34070647,0.4327844,0.3696935,0.38432065,0.36389,0.38671696,0.439006,0.41223854,0.44490546,0.42674708,0.58459765,0.4026235,0.5676886,0.40370148,0.7233644,0.43656722,0.6950784,0.40648156,backhand
