left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.28292766,0.31472358,0.28058636,0.31877404,0.32875314,0.33247104,0.36054665,0.2885607,0.29896373,0.3628803,0.41028598,0.3058876,0.46344858,0.29144266,0.46902564,0.3066111,0.59374607,0.29313523,0.60731816,0.32560277,0.72458446,0.25557357,0.76279616,0.33179095,forehand
0.29039392,0.3173955,0.28816134,0.3094426,0.33978012,0.3257704,0.37367558,0.2844119,0.32814103,0.35497192,0.42758098,0.3015587,0.46923164,0.2910109,0.47273794,0.3008434,0.5970649,0.28865796,0.60696244,0.32464367,0.72867846,0.25419503,0.76279354,0.33199733,forehand
0.29059392,0.3159598,0.29408553,0.3050689,0.33658904,0.33888787,0.38512176,0.28245035,0.31285203,0.36060798,0.45309868,0.30103725,0.4717346,0.2865954,0.47504094,0.29561406,0.5999504,0.28494018,0.60623205,0.3238856,0.73552924,0.2509919,0.76266384,0.33198234,forehand
0.29350093,0.31153968,0.2974213,0.303443,0.37820417,0.30218118,0.385273,0.28463787,0.46364012,0.29919237,0.47424278,0.29894248,0.47870716,0.2813912,0.48051125,0.2935324,0.60470176,0.27959096,0.60626024,0.32298395,0.73681897,0.25001198,0.7626544,0.33203098,forehand
0.292184,0.30263668,0.30104324,0.30027422,0.39248967,0.29367527,0.39485136,0.28870213,0.47094926,0.29438144,0.48288637,0.301484,0.48037773,0.27525705,0.48067665,0.28714734,0.6041361,0.2768426,0.6034126,0.3212115,0.73504674,0.25001088,0.7622231,0.3318066,forehand
0.289787,0.28786284,0.29971552,0.29990414,0.36306223,0.29867625,0.39406446,0.29038006,0.38621143,0.33410734,0.48692164,0.30669793,0.47814712,0.26940373,0.47988498,0.2865884,0.60354066,0.27383414,0.59855086,0.31982216,0.7335115,0.24870484,0.75862986,0.33105758,forehand
0.28652275,0.27539647,0.29924926,0.3017909,0.3537726,0.2842225,0.39949173,0.30216905,0.3657386,0.31199136,0.48608217,0.31962305,0.47714373,0.26534903,0.47929153,0.28995484,0.60278076,0.2682424,0.5988243,0.31714165,0.73320776,0.24749044,0.7568454,0.32899988,forehand
0.28465635,0.26767382,0.29797405,0.30421993,0.3516366,0.25889176,0.3965134,0.31985214,0.3709404,0.26712146,0.47584465,0.34532902,0.47648028,0.26052833,0.47917965,0.2907501,0.6018462,0.26195592,0.59939325,0.31182963,0.73354805,0.2449708,0.75475377,0.3251961,forehand
0.2760162,0.25987503,0.29711023,0.3060016,0.32556665,0.2737637,0.38769892,0.33658367,0.31385255,0.2968052,0.46596205,0.37456548,0.47333845,0.25607052,0.47751153,0.28989014,0.60181403,0.25646427,0.5997579,0.30985728,0.7339207,0.2438355,0.7539377,0.3197595,forehand
0.2703182,0.25327715,0.29126984,0.306966,0.32319552,0.2602326,0.35373646,0.34588578,0.32035568,0.27756992,0.40487888,0.3928306,0.46980956,0.25412172,0.47373945,0.28918582,0.6017503,0.2538714,0.600827,0.30536264,0.7341618,0.24332328,0.7540988,0.31300956,forehand
