left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.27345583,0.20155163,0.29025757,0.2737613,0.37219208,0.1857278,0.39650145,0.291321,0.43845087,0.18998075,0.42235044,0.25753152,0.48628667,0.2217437,0.48860762,0.2591692,0.6257457,0.18598583,0.61279064,0.26515973,0.76910543,0.15497902,0.7596388,0.28602013,neutral
0.27177048,0.20331979,0.2873449,0.27759632,0.37257814,0.18683732,0.39187956,0.2984125,0.42075998,0.20073123,0.41962492,0.2633986,0.48548666,0.2242974,0.48650873,0.2622347,0.6207809,0.19176576,0.61231303,0.26771584,0.7690668,0.16758457,0.7600076,0.28593895,neutral
0.26317206,0.20316596,0.28136772,0.28252456,0.37163717,0.19065937,0.38224992,0.30173582,0.40908605,0.204214,0.4177496,0.26828393,0.4769685,0.2255727,0.48079926,0.2643429,0.61030227,0.19933796,0.6065164,0.2707374,0.76497865,0.18388858,0.75796425,0.28664672,neutral
0.2504513,0.20395327,0.26753533,0.2855224,0.36637017,0.19339722,0.37055528,0.30320373,0.39413565,0.21061465,0.40984645,0.26689753,0.46397159,0.22601163,0.46895903,0.26650763,0.60238624,0.2070498,0.599678,0.27306184,0.75696063,0.20282996,0.7568628,0.28695628,neutral
0.24172045,0.2048837,0.2572221,0.2871111,0.35651687,0.19665542,0.36030406,0.3043016,0.37598798,0.21647587,0.40086204,0.27222732,0.45257258,0.22815283,0.45770106,0.2686621,0.5936061,0.21420416,0.5951454,0.27923942,0.7494007,0.22024615,0.753976,0.2872346,neutral
0.2378685,0.2058132,0.25068235,0.28881866,0.3501727,0.1986163,0.3532181,0.30550563,0.37324944,0.22193348,0.38994366,0.27588153,0.4478237,0.23070958,0.45098123,0.27104834,0.5855038,0.22275083,0.59148604,0.28292498,0.74283785,0.23212913,0.74995166,0.28750426,neutral
0.23669574,0.20768113,0.24768944,0.29086,0.34751663,0.20009768,0.3503658,0.30742383,0.37487534,0.22221282,0.38309205,0.28044143,0.44680807,0.23291095,0.44832644,0.27325538,0.58906525,0.2300658,0.58805954,0.2848928,0.7454262,0.24129744,0.7469135,0.28943726,neutral
0.23804042,0.20924595,0.24684009,0.2927268,0.3468593,0.20167801,0.3508318,0.30867407,0.37796238,0.22199917,0.38284335,0.28122202,0.44771105,0.23567331,0.44826907,0.27682835,0.5878699,0.23714176,0.5882045,0.2870564,0.74676996,0.24722424,0.7471874,0.29224175,neutral
0.23950127,0.21059442,0.24935216,0.29422355,0.34807593,0.20411924,0.35350108,0.3099254,0.3819762,0.22619589,0.38504824,0.28111213,0.45001662,0.23828784,0.4502085,0.2796554,0.5904386,0.24191752,0.589132,0.29009473,0.7468563,0.25135833,0.74772,0.29902643,neutral
0.25052392,0.21365829,0.25062564,0.29382047,0.35490257,0.2052139,0.35611266,0.31119996,0.39281636,0.22590983,0.39579162,0.28471452,0.45675328,0.24153769,0.45250633,0.28259265,0.59260595,0.24550088,0.59071183,0.29636595,0.74972916,0.25230604,0.74883974,0.30943996,neutral
0.26232773,0.21540523,0.2578264,0.29444563,0.3662803,0.20730276,0.36819056,0.31298348,0.40039894,0.22835955,0.4056076,0.28981298,0.46357995,0.2436889,0.45778272,0.2847396,0.598895,0.248171,0.5912541,0.30259806,0.75584275,0.25348103,0.7502288,0.31865135,neutral
0.26759285,0.21712756,0.26197597,0.2952787,0.3773087,0.2091367,0.37831727,0.31457865,0.4025059,0.23629959,0.41126138,0.29539272,0.47107092,0.24679515,0.4663453,0.28699145,0.60405165,0.24911606,0.59664917,0.3100658,0.7587376,0.25288078,0.7506087,0.33076864,neutral
0.27124032,0.21976821,0.2652152,0.2970993,0.38151428,0.21155679,0.3812301,0.3158111,0.4022572,0.24184003,0.4134449,0.29962614,0.47533134,0.24968776,0.47134668,0.2898672,0.60545754,0.25054437,0.597178,0.31598374,0.7587051,0.25271964,0.74974716,0.33885264,neutral
0.269779,0.22360149,0.26547998,0.30046767,0.37926573,0.21449932,0.38129818,0.31751472,0.40618342,0.24081942,0.415328,0.30190724,0.4740422,0.25230342,0.4710319,0.29268873,0.60721344,0.25263637,0.5935142,0.32096723,0.75883067,0.25296122,0.74477607,0.34522358,neutral
0.2681492,0.22707954,0.26270184,0.30566794,0.37784135,0.21990354,0.37553224,0.32061413,0.40250427,0.24214384,0.4143159,0.3042714,0.4720666,0.25515446,0.46840495,0.29542592,0.6060507,0.25572813,0.58683985,0.32525796,0.7582371,0.25372416,0.73479384,0.35248062,neutral
0.2548063,0.23212919,0.25249162,0.31310946,0.3597839,0.22526994,0.3619469,0.3252955,0.38832325,0.24925813,0.39569294,0.31159142,0.4585827,0.25810453,0.45614406,0.29960114,0.5980151,0.25869495,0.583219,0.33025923,0.7572505,0.25372207,0.7280693,0.3578335,neutral
0.2441185,0.23633471,0.24418265,0.3165843,0.3440452,0.22913185,0.3508891,0.33021617,0.37177315,0.25315893,0.3866228,0.31293517,0.44851384,0.26288003,0.44581476,0.30473348,0.5919612,0.25968808,0.57410157,0.33362132,0.7529452,0.2531382,0.71997154,0.36182556,neutral
0.23808354,0.23990238,0.23936488,0.32170072,0.33808187,0.23343496,0.34301248,0.33577317,0.36466628,0.2615946,0.38340104,0.3190114,0.44172716,0.267039,0.43930373,0.30926052,0.589013,0.2608463,0.5729719,0.3388764,0.749787,0.25283727,0.7158312,0.3661127,neutral
0.2368829,0.24496345,0.23967542,0.32556945,0.33535454,0.23738179,0.33984914,0.34088343,0.35784358,0.26719204,0.3845723,0.32553598,0.44027466,0.2717228,0.43794358,0.3128379,0.586299,0.26244625,0.56742424,0.34491593,0.74667466,0.2521525,0.71121323,0.37065047,neutral
0.23920195,0.24896248,0.24081697,0.3300706,0.339392,0.24085784,0.3398002,0.34517196,0.35686672,0.27008075,0.38400352,0.33161783,0.4421387,0.27539533,0.44002435,0.317416,0.5868877,0.26343602,0.5685656,0.34924698,0.747435,0.25116932,0.7133839,0.37605593,neutral
0.23971753,0.25557327,0.24225716,0.33508128,0.3414885,0.2456532,0.34216145,0.35031238,0.36098176,0.27310467,0.38547543,0.33708936,0.4430821,0.27986938,0.44103676,0.32172737,0.58777374,0.2659179,0.5708367,0.35400075,0.7471281,0.24969876,0.7155469,0.3811129,neutral
0.24789765,0.26090533,0.24773939,0.34090146,0.35104197,0.24959418,0.3547585,0.35676032,0.36327773,0.28002667,0.39039353,0.3458404,0.45297924,0.28343555,0.4515665,0.3259105,0.5884317,0.26869696,0.57715553,0.35808298,0.7474849,0.24793199,0.7187245,0.38568327,neutral
0.25964484,0.26661953,0.256455,0.34548318,0.36031434,0.25447798,0.36525714,0.36296102,0.38087234,0.2832167,0.41107267,0.35117233,0.4679165,0.2876679,0.4672627,0.32986972,0.5988657,0.27012753,0.5874491,0.36354953,0.7490803,0.246291,0.73191285,0.3863646,neutral
0.28094047,0.27100933,0.27454886,0.3499117,0.38048413,0.2598793,0.3838247,0.36772993,0.403698,0.29270136,0.4279777,0.3558239,0.48868412,0.29237455,0.48759112,0.3354992,0.6075701,0.27161106,0.59977376,0.36810955,0.751627,0.24535175,0.7451439,0.38595563,neutral
0.28393933,0.27533725,0.2863236,0.35419676,0.39104083,0.26546,0.39920413,0.37113208,0.411296,0.29702085,0.43101913,0.35338792,0.49266443,0.29662466,0.492517,0.3406046,0.6151485,0.27390102,0.60725075,0.37301815,0.75635874,0.24525645,0.750638,0.38499612,neutral
0.2870042,0.27861488,0.29147524,0.35779038,0.39587975,0.27078632,0.40561777,0.37408617,0.41069102,0.30064878,0.4351586,0.35040307,0.49486363,0.30169243,0.49442482,0.34608918,0.6167348,0.2751662,0.6079806,0.3751439,0.7575097,0.24616282,0.75246346,0.3848328,neutral
0.28770718,0.2826491,0.2917474,0.36042267,0.39076373,0.27330604,0.4046167,0.3758974,0.40769985,0.30120593,0.43028674,0.35407546,0.49191695,0.30646718,0.49132857,0.3497766,0.6155508,0.27830803,0.60636044,0.37751603,0.75730836,0.2485123,0.7539081,0.3861826,neutral
0.2841791,0.28296226,0.2868036,0.36366513,0.38708627,0.27697033,0.3993433,0.37647396,0.40608534,0.30142558,0.42406794,0.3520686,0.48785317,0.3094921,0.4871194,0.3533624,0.61436456,0.2806851,0.60538787,0.37814626,0.75749314,0.25224525,0.7552798,0.38701236,neutral
0.28217334,0.286453,0.28506804,0.364766,0.38431472,0.2773926,0.39632714,0.37544566,0.3770106,0.30519983,0.3915131,0.34942162,0.48648325,0.31277806,0.48588213,0.3548469,0.6124214,0.28402573,0.6038943,0.377652,0.75530523,0.2614887,0.7537801,0.38799122,neutral
0.27202404,0.28800052,0.27520823,0.3639324,0.37589428,0.2791205,0.3802355,0.3749314,0.37602317,0.30603796,0.39086646,0.3481056,0.47821364,0.3143224,0.47920176,0.3553098,0.6079431,0.2884125,0.6029469,0.37730834,0.75586426,0.27332404,0.75275415,0.3894403,neutral
