left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.35578606,0.5134877,0.35858417,0.5430016,0.46942657,0.538622,0.47997075,0.5550785,0.5296522,0.5931852,0.546905,0.60402787,0.58536357,0.485216,0.59136033,0.5146689,0.7191654,0.49201554,0.74504787,0.54829824,0.8606943,0.4451391,0.9165697,0.5410453,backhand
0.35315055,0.5161463,0.35408595,0.5365974,0.46516556,0.5372967,0.47191778,0.53686786,0.52712756,0.5810782,0.54259586,0.5820196,0.5808008,0.484016,0.5883615,0.508515,0.71671396,0.48924923,0.7450158,0.54220665,0.857292,0.44102806,0.9169886,0.54023945,backhand
0.3528648,0.5176701,0.35097852,0.53236973,0.46445322,0.53439516,0.46520948,0.52385926,0.5305718,0.56702846,0.5435817,0.56493,0.578898,0.48348984,0.58773136,0.5059404,0.71503353,0.48620582,0.7448962,0.5381371,0.85394573,0.43977967,0.9172137,0.5390814,backhand
0.35270363,0.51909494,0.34562775,0.52495074,0.46378046,0.52251756,0.4574596,0.5055124,0.53257346,0.5446054,0.5411282,0.5453706,0.57841337,0.48259574,0.5870897,0.50167453,0.7147899,0.48278752,0.7425987,0.53523976,0.85641295,0.43848705,0.9171667,0.53808004,backhand
0.3524772,0.51867884,0.34603262,0.5194329,0.46795171,0.51541835,0.45612302,0.49675602,0.53232473,0.54185843,0.540185,0.530959,0.5785341,0.4809379,0.5876504,0.501252,0.71509093,0.48050722,0.74108,0.53346276,0.85582495,0.43928513,0.9171803,0.5374669,backhand
0.3562592,0.52183324,0.34467334,0.5058663,0.4723011,0.51546484,0.44567436,0.47944602,0.50900656,0.5377954,0.52834725,0.50700736,0.57703686,0.48003072,0.5850888,0.49433547,0.7153277,0.48119584,0.7373894,0.5320308,0.85302657,0.4389709,0.9171557,0.5376998,backhand
0.35806695,0.52495766,0.34216246,0.4958383,0.45686522,0.5166956,0.43632036,0.466082,0.4861662,0.53044164,0.51558906,0.4929324,0.574463,0.47964677,0.58183414,0.4878386,0.715392,0.4819563,0.73360807,0.5304454,0.8526212,0.43791452,0.916423,0.5377909,backhand
0.35751784,0.51843643,0.3417829,0.49863034,0.45627216,0.5055945,0.43097004,0.46387863,0.4900639,0.5165621,0.51344645,0.48522252,0.57444346,0.4744543,0.58127177,0.48766932,0.7164351,0.48247156,0.73198324,0.5300668,0.85264784,0.43664995,0.9145321,0.5382146,backhand
0.35928726,0.5165363,0.34155074,0.49090475,0.45487025,0.5076193,0.43461686,0.46071744,0.49417195,0.51338714,0.51528317,0.47841153,0.5741088,0.47389475,0.5784064,0.48704138,0.7168045,0.48190874,0.729969,0.52931535,0.85280967,0.43444198,0.91272396,0.53829855,backhand
0.36458474,0.51681393,0.3407739,0.4778394,0.4569112,0.5101642,0.43773106,0.45835727,0.4988135,0.51389915,0.5253834,0.4793415,0.574276,0.47444543,0.576734,0.4803471,0.71688104,0.47328648,0.72873324,0.5272436,0.8523783,0.4331533,0.91031885,0.538376,backhand
0.36482176,0.49793142,0.34590697,0.47792277,0.4568662,0.5051529,0.4610405,0.4687724,0.47920877,0.5169264,0.5435902,0.49284267,0.58167756,0.47232237,0.58067524,0.48199853,0.7161078,0.46989733,0.7279803,0.5257303,0.8527774,0.4306251,0.9112887,0.5382422,backhand
0.35775837,0.4690095,0.3474191,0.48326898,0.4570357,0.4882555,0.46111035,0.47592133,0.53802866,0.51269424,0.54466003,0.4993771,0.5813802,0.45872545,0.5807176,0.48350573,0.7147383,0.46078977,0.7284997,0.52615404,0.8529247,0.4305655,0.9107644,0.5374023,backhand
0.35962677,0.44626027,0.34738573,0.48901615,0.46333838,0.47669458,0.45978057,0.4918399,0.5272168,0.5122398,0.54510623,0.5235365,0.58105373,0.44756612,0.57236004,0.48379603,0.7103494,0.4567744,0.7258972,0.5244822,0.85480505,0.43067694,0.9089073,0.5358343,backhand
0.35615107,0.4358163,0.33770975,0.49138418,0.45988792,0.45060617,0.44518322,0.49962956,0.51939154,0.47962284,0.5268555,0.5401541,0.57318974,0.44747567,0.5636967,0.48438615,0.70680296,0.45064098,0.7223714,0.5214475,0.85501456,0.43032488,0.9019946,0.53354704,backhand
0.35148495,0.43113407,0.3336868,0.49208504,0.45216548,0.45752698,0.42408833,0.5045299,0.47954667,0.49880356,0.47531247,0.5348302,0.56921494,0.44527698,0.5584141,0.48444074,0.70384115,0.44676828,0.71584237,0.51804316,0.8556264,0.43040276,0.89517957,0.52977765,backhand
0.34212118,0.42441434,0.3304414,0.49051017,0.42299318,0.44245872,0.42316628,0.47566605,0.4300393,0.47525615,0.42066935,0.4820109,0.56779075,0.4429875,0.557422,0.48445672,0.70294493,0.44302177,0.7158584,0.51608574,0.8557265,0.43058825,0.89268035,0.52264684,backhand
0.33266968,0.42492333,0.32988137,0.49157095,0.38864785,0.43865165,0.36887357,0.47612095,0.37725526,0.464379,0.340962,0.46406358,0.5650517,0.44511038,0.55668426,0.4847896,0.7015836,0.4408967,0.7153306,0.512956,0.8558844,0.43072972,0.8902636,0.5176838,backhand
0.32616436,0.42547432,0.32900578,0.4911093,0.35089856,0.42418557,0.34075305,0.46877414,0.3240314,0.45198956,0.3153386,0.44149643,0.5627219,0.44636446,0.5555074,0.48496312,0.7016811,0.44122276,0.7110299,0.5103087,0.8560366,0.43103266,0.8857595,0.5142331,backhand
0.32516056,0.42510003,0.32781905,0.490234,0.32796314,0.42703748,0.32406053,0.46928272,0.29330823,0.44584814,0.29912162,0.44051751,0.5634105,0.4458727,0.5562832,0.48501748,0.70257103,0.44010624,0.71143365,0.50854695,0.85672927,0.4320888,0.8838653,0.5117586,backhand
0.3267,0.42445135,0.31821677,0.48720336,0.33096415,0.40687805,0.29639617,0.4506219,0.29883966,0.41084424,0.26543742,0.40349507,0.5625122,0.4461468,0.55481315,0.48515224,0.7042737,0.43884596,0.71166253,0.5070375,0.8582239,0.43224669,0.88296986,0.5104836,backhand
0.3286992,0.42552185,0.31301665,0.48730317,0.34540555,0.3988322,0.2919185,0.4449026,0.28799477,0.39106607,0.26101485,0.3961051,0.5623801,0.44687587,0.5541067,0.48737898,0.7051416,0.43796176,0.7100362,0.5067124,0.85854924,0.43231988,0.8764022,0.5111172,backhand
0.32276592,0.4268338,0.3130503,0.48797193,0.31480286,0.3770122,0.2853214,0.44764146,0.28301778,0.3873071,0.2659252,0.3910341,0.56148666,0.44716343,0.552612,0.48862672,0.70617425,0.43757614,0.7076236,0.50707775,0.85920393,0.43247086,0.8704083,0.5123372,backhand
0.3250299,0.4252623,0.31293228,0.48838347,0.3394157,0.37701657,0.30732507,0.4480043,0.26558343,0.36831877,0.26576313,0.39661407,0.55974185,0.44722867,0.5518713,0.49217105,0.7080084,0.43742973,0.7072301,0.5081829,0.8624538,0.43309194,0.86944413,0.5137526,backhand
0.32748672,0.422546,0.31464636,0.48867917,0.34621105,0.37259445,0.32127258,0.45244837,0.2660486,0.36697483,0.28550768,0.4038911,0.5587812,0.44775566,0.5508321,0.4930687,0.7080652,0.43746686,0.7043344,0.5087456,0.86272806,0.43332943,0.86839813,0.5138103,backhand
0.32802466,0.41885853,0.315668,0.48872527,0.35154578,0.36753684,0.33753902,0.45394698,0.26748806,0.3698629,0.2921686,0.41089272,0.5580383,0.44802794,0.5509228,0.492935,0.7077726,0.4374353,0.70078343,0.5091752,0.8627119,0.43354306,0.8653336,0.5161846,backhand
0.32236198,0.41760987,0.31644636,0.48887032,0.35258186,0.36726904,0.34656942,0.45527807,0.2787826,0.37695366,0.29047135,0.41228208,0.5541618,0.44822162,0.5477122,0.49286237,0.70778275,0.43715373,0.6990432,0.5093006,0.8626837,0.4335753,0.86476177,0.51861966,backhand
0.3235998,0.419362,0.31703624,0.48894447,0.3583287,0.3659634,0.34604472,0.45510274,0.28696987,0.37341306,0.29669812,0.40331632,0.55487525,0.4483096,0.54840815,0.49275845,0.70779437,0.4375859,0.6984465,0.50939524,0.8625057,0.43396878,0.8617666,0.52023005,backhand
0.32370397,0.41829553,0.3177857,0.48903593,0.37104735,0.3675385,0.3477151,0.45763725,0.28810427,0.37464473,0.29636502,0.40929574,0.5552301,0.44840708,0.5488544,0.492652,0.70782405,0.43783444,0.69834936,0.50955296,0.86208427,0.43414015,0.85969365,0.52202123,backhand
0.32489812,0.41820818,0.31809568,0.4896277,0.3833869,0.37283862,0.36275995,0.46548486,0.30753917,0.37847072,0.30197838,0.4146317,0.5554311,0.44850168,0.5484699,0.49261755,0.70782703,0.43803802,0.69601625,0.50960493,0.8621013,0.43438682,0.85929954,0.52467597,backhand
0.32980233,0.41877618,0.3193983,0.49213028,0.40027967,0.37659472,0.37392336,0.4653511,0.31824315,0.37789893,0.3189817,0.41556293,0.5557372,0.44860658,0.5486765,0.49256355,0.70826143,0.43818587,0.6948369,0.5097167,0.86210793,0.43469572,0.8570095,0.5265008,backhand
