left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.4003922,0.47230062,0.38079894,0.48038262,0.4985439,0.47132555,0.4057259,0.43658203,0.5065817,0.42012644,0.40482172,0.38442224,0.5977732,0.50967175,0.5907269,0.5281943,0.72811604,0.45862508,0.7123239,0.48150617,0.8987511,0.479988,0.81923515,0.52948666,forehand
0.40356976,0.46390262,0.3847376,0.47666574,0.51155335,0.4758553,0.41990814,0.43874174,0.51943755,0.42604035,0.44026724,0.3936481,0.5998458,0.50579196,0.5904797,0.52511936,0.7299732,0.45958033,0.70949143,0.48185426,0.8999969,0.48088914,0.82550174,0.5227418,forehand
0.40704054,0.4608448,0.39533854,0.46675,0.50118613,0.4784266,0.43824968,0.4224382,0.5236541,0.4405662,0.45770946,0.37340623,0.59986705,0.50596297,0.59122306,0.5220474,0.73079234,0.4581894,0.70797044,0.47858167,0.89981407,0.4805924,0.82791203,0.50888395,forehand
0.40659887,0.4619599,0.39612973,0.46297008,0.49980968,0.48492646,0.44144714,0.4267804,0.5268459,0.45347887,0.4661032,0.37825713,0.59946626,0.50703436,0.59091073,0.5218968,0.7297952,0.4574986,0.70953363,0.48025054,0.89521205,0.47802162,0.8322107,0.5063725,forehand
0.40617725,0.46350497,0.4077902,0.44723096,0.49214736,0.48988938,0.45996487,0.41298383,0.5332947,0.4581564,0.49130934,0.3631823,0.5982279,0.5092083,0.5905823,0.512087,0.72908646,0.4578348,0.71014583,0.4767148,0.8946625,0.47902623,0.834364,0.49509415,forehand
0.4061992,0.46153703,0.41740084,0.44121203,0.47438642,0.4909156,0.47723055,0.40266746,0.5359577,0.46799836,0.5161133,0.35373113,0.59260875,0.509256,0.5903868,0.50597465,0.72679,0.45918292,0.7126043,0.47319102,0.8913418,0.4796455,0.8687698,0.48526254,forehand
0.4112898,0.45676035,0.42416862,0.43639177,0.47350892,0.48958135,0.4904949,0.4006257,0.55421257,0.4776742,0.53743744,0.3532032,0.5918781,0.50953054,0.59026825,0.5033555,0.72797555,0.45975804,0.71505594,0.4671821,0.8914212,0.48016977,0.8658586,0.48029524,forehand
0.4127879,0.44939002,0.42868757,0.43709794,0.47253007,0.48840708,0.4986468,0.40375057,0.559668,0.48547435,0.554606,0.35591125,0.5920376,0.5071086,0.590896,0.5031154,0.73010576,0.45819896,0.71783185,0.4669196,0.89101213,0.4805321,0.8637246,0.47994027,forehand
0.4169256,0.4472166,0.43088028,0.43714935,0.48009333,0.48558038,0.50288963,0.4110879,0.5778011,0.4916126,0.5609545,0.36545807,0.5920801,0.504254,0.5911172,0.49813566,0.7300881,0.4574079,0.7239613,0.46555138,0.887508,0.48049742,0.8703224,0.48113805,forehand
0.42292878,0.44194126,0.4234013,0.4408362,0.5061833,0.47445813,0.49499393,0.42892677,0.60091573,0.48298797,0.5451852,0.40031037,0.59139645,0.49897346,0.58412266,0.4989728,0.7262933,0.45682353,0.71924126,0.46625286,0.88219035,0.47963923,0.8675768,0.4794785,forehand
