left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.32996756,0.5583704,0.3311207,0.634792,0.44311005,0.54326916,0.44573605,0.6327385,0.4799055,0.5678536,0.4781962,0.61935955,0.53666663,0.57793105,0.53854287,0.6197024,0.6567732,0.5787908,0.6763245,0.6344296,0.79384065,0.5729155,0.8259231,0.6322877,neutral
0.3225363,0.56066966,0.3244357,0.6368411,0.43685502,0.54534805,0.44005847,0.6357401,0.47831225,0.56978095,0.47769183,0.6230605,0.53287315,0.5797452,0.53482896,0.6213228,0.65908945,0.57731354,0.6760677,0.63577616,0.7968358,0.572764,0.82764715,0.6367051,neutral
0.32109836,0.5636674,0.3245553,0.6403979,0.43709245,0.54949903,0.43980908,0.6427554,0.47918168,0.5729466,0.48577312,0.6275897,0.53246194,0.58184385,0.53446674,0.6238275,0.66139644,0.57673776,0.6764287,0.6366464,0.7998185,0.57132536,0.82848823,0.6399923,neutral
0.3218621,0.5673991,0.325804,0.64346415,0.43679997,0.5540675,0.44068354,0.64575183,0.48060575,0.5748053,0.48806903,0.62959874,0.53285867,0.58411753,0.5356988,0.62627816,0.6641802,0.5745783,0.67724824,0.63813597,0.80102295,0.5673377,0.8351244,0.6426311,neutral
0.3239026,0.5714958,0.32767224,0.64739966,0.43763894,0.55721647,0.44112837,0.6523883,0.4841902,0.57658285,0.48911998,0.63798124,0.53371143,0.5869011,0.5373154,0.6296301,0.6666896,0.5709171,0.6886845,0.63976014,0.8024899,0.55750257,0.8451985,0.6437922,neutral
0.3239883,0.5745099,0.32794553,0.64988077,0.4404809,0.56070524,0.44390538,0.65561527,0.4868493,0.58000696,0.48578745,0.6366123,0.5417156,0.589512,0.5450491,0.6321415,0.67221427,0.56864464,0.69360894,0.6393041,0.80600685,0.55020994,0.8493052,0.643188,neutral
0.3261347,0.5770795,0.3282676,0.6511431,0.44509184,0.5637834,0.44465578,0.6562005,0.48881593,0.58088285,0.46481094,0.6352937,0.5479269,0.5924238,0.55126095,0.6343722,0.6721178,0.56528467,0.69674206,0.6407538,0.8066171,0.5439229,0.8499198,0.6432761,neutral
0.32686162,0.57826036,0.32927597,0.6529952,0.44870457,0.56523144,0.44674093,0.6588684,0.48867348,0.58217776,0.46125814,0.63421166,0.5518167,0.59419996,0.5554633,0.63543963,0.6736076,0.5629444,0.7020521,0.6402863,0.80622464,0.54170096,0.8522371,0.64375734,neutral
0.3273869,0.57932943,0.3300803,0.6545667,0.44990882,0.5664929,0.44666612,0.6599289,0.4879913,0.5833546,0.46006867,0.6357844,0.5514785,0.595873,0.5557504,0.63787377,0.67380625,0.5601159,0.70504135,0.64161044,0.80881596,0.53685886,0.8527984,0.64515394,neutral
0.32776633,0.5803622,0.329362,0.65584135,0.44986868,0.56714267,0.44438142,0.6583305,0.4873926,0.58521134,0.4616434,0.6384212,0.55066544,0.59673446,0.55494606,0.6390435,0.67319113,0.55781263,0.70560867,0.6426147,0.81310457,0.5349246,0.85787123,0.64590204,neutral
