left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.5592583,0.37923992,0.5579383,0.37176555,0.62108725,0.36648667,0.61443365,0.35296392,0.6403713,0.33375254,0.63123703,0.32489064,0.71585804,0.40093,0.7105809,0.40169972,0.8158575,0.36892825,0.7994582,0.38274804,0.9478379,0.3774891,0.87924993,0.41551524,backhand
0.5549973,0.37985188,0.5584239,0.36528543,0.6168245,0.36771408,0.619216,0.3516867,0.63352334,0.3367647,0.63587797,0.32813042,0.71229213,0.4002748,0.7099226,0.39818555,0.8147465,0.36896285,0.8015703,0.37780666,0.9477571,0.37744632,0.8831313,0.4025383,backhand
0.549152,0.37998945,0.55935544,0.3582327,0.61329377,0.3709959,0.61985385,0.3468445,0.6298163,0.33765584,0.63285625,0.329715,0.7073899,0.40046602,0.7072932,0.38914564,0.814582,0.3698729,0.7970881,0.37004256,0.9474415,0.37745115,0.8842771,0.38756323,backhand
0.54850256,0.38034725,0.5601225,0.35574955,0.6080818,0.37572134,0.6209246,0.34638053,0.6267999,0.3482615,0.63578,0.3320561,0.70683765,0.4011175,0.7060434,0.38668296,0.8142551,0.37003905,0.7941447,0.3658146,0.94466174,0.37744835,0.8872713,0.379876,backhand
0.5455558,0.38081992,0.56024784,0.3564759,0.6106059,0.3775075,0.62175554,0.34945664,0.6295612,0.35073683,0.63285345,0.33391878,0.70496356,0.40049475,0.70379037,0.385015,0.8123187,0.36992398,0.7899828,0.36295167,0.94098186,0.37744474,0.88792515,0.37947372,backhand
0.5446884,0.38110116,0.5597608,0.35383666,0.6137983,0.37854373,0.62289333,0.34865236,0.6327318,0.35106277,0.63557816,0.33461124,0.70362335,0.39944524,0.7014849,0.38168025,0.8102511,0.36790568,0.7894044,0.36013353,0.938344,0.37645423,0.88838917,0.37837714,backhand
0.54600173,0.3813721,0.558771,0.34862056,0.6153489,0.37796682,0.61989397,0.34343877,0.637158,0.3501958,0.6400817,0.33712476,0.69985354,0.39788023,0.69850147,0.37849295,0.8027677,0.36550826,0.7904667,0.35967943,0.9315661,0.37320277,0.88595474,0.37650126,backhand
0.5467142,0.38142902,0.5551816,0.35568124,0.61671925,0.37325147,0.6183378,0.34690195,0.6433689,0.34969446,0.6485498,0.3363375,0.6981908,0.39485127,0.69743925,0.38162628,0.7962697,0.35912707,0.7920536,0.3607646,0.92017186,0.3694111,0.88107806,0.3800388,backhand
0.5449305,0.3769249,0.55183214,0.36328706,0.6177091,0.3637086,0.6224736,0.34891358,0.6644002,0.34245008,0.6636335,0.3351927,0.6992959,0.389288,0.6987289,0.38424382,0.7937322,0.3551545,0.78793114,0.3607579,0.9081531,0.3670445,0.87626654,0.38091475,backhand
0.54398876,0.36606768,0.5504489,0.3805095,0.62142116,0.35238987,0.62242746,0.36981985,0.6728534,0.33332446,0.6747407,0.34355018,0.69878644,0.3802493,0.6962721,0.3886239,0.7900579,0.35209996,0.77856743,0.36302808,0.9038022,0.36574024,0.8754507,0.38180894,backhand
