left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.55174285,0.19043806,0.55151284,0.15881471,0.5800114,0.2055324,0.5788114,0.1361858,0.5915783,0.21701019,0.5803679,0.13528611,0.6727426,0.16345724,0.68073,0.14303415,0.74837375,0.19504452,0.7587296,0.18300594,0.83453524,0.16671637,0.8693356,0.17502572,forehand
0.55476594,0.19425727,0.55254304,0.16047433,0.5827895,0.21071355,0.5804195,0.13611737,0.59984636,0.2257376,0.5841016,0.12798898,0.6728541,0.1663358,0.68091995,0.14541037,0.74836403,0.19561276,0.7588413,0.18465261,0.83099645,0.16582474,0.87056917,0.17726783,forehand
0.5581635,0.19745561,0.55268663,0.15879181,0.59358364,0.21768257,0.58096814,0.13471147,0.6052687,0.23521611,0.59764916,0.120939136,0.67325354,0.168646,0.68104815,0.146306,0.74559486,0.2000523,0.75923896,0.18400422,0.8278518,0.17561671,0.87119293,0.17589203,forehand
0.5638942,0.20161438,0.55925584,0.1583552,0.60119766,0.22523646,0.5877072,0.13543987,0.6120873,0.24728544,0.6115043,0.1184121,0.67513907,0.1696007,0.6825759,0.14721194,0.7444763,0.20137894,0.7602345,0.1842157,0.82726485,0.18164425,0.87175995,0.1752292,forehand
0.5675225,0.20385292,0.56360877,0.16354528,0.60413575,0.22985291,0.5908085,0.13581763,0.614039,0.25687075,0.620983,0.117379665,0.67618406,0.17086151,0.6830573,0.14980778,0.74493533,0.20129967,0.7606824,0.18448949,0.8284784,0.18643479,0.87196356,0.17433897,forehand
0.5678282,0.20529664,0.56866497,0.16427985,0.6036913,0.23404983,0.6024017,0.13467698,0.6142271,0.26407963,0.63732344,0.11581312,0.6764364,0.1739836,0.68330497,0.1527055,0.74527895,0.20244634,0.76198316,0.18467413,0.8290155,0.18530056,0.87445813,0.17358372,forehand
0.5670065,0.20718977,0.5706501,0.16635011,0.6029876,0.23625383,0.6103109,0.13760424,0.6108571,0.2658106,0.65207344,0.11708156,0.67642677,0.17501257,0.6830205,0.154173,0.74517435,0.20222685,0.7621424,0.186086,0.83026665,0.18386789,0.87445915,0.17314334,forehand
0.5669086,0.20662248,0.5714192,0.17020714,0.5937899,0.23689505,0.6185283,0.14146557,0.60053796,0.2679719,0.66906995,0.11918076,0.6749219,0.17714995,0.6826093,0.15590811,0.7415428,0.20209844,0.7639068,0.18536535,0.8283972,0.1836622,0.8747914,0.17287213,forehand
0.55859834,0.20539038,0.573184,0.17410849,0.5730398,0.23068337,0.6256728,0.14893278,0.5807279,0.2600382,0.6829119,0.12552562,0.6717318,0.17784433,0.6795969,0.15875395,0.74172246,0.20035759,0.76256454,0.18495396,0.8272747,0.18151364,0.8740736,0.17258677,forehand
0.5488871,0.20384374,0.5716911,0.17972443,0.5553189,0.23001282,0.6223555,0.15984663,0.5576295,0.25376055,0.68863565,0.14897989,0.6699972,0.17827894,0.67675287,0.16350763,0.7328973,0.19956635,0.75693065,0.18495813,0.8269126,0.18014787,0.8668639,0.17285512,forehand
0.5349041,0.19628474,0.56475264,0.18361683,0.53172266,0.21946952,0.62207603,0.17257284,0.53540003,0.24890573,0.6947717,0.1748155,0.6633231,0.17810526,0.67311925,0.1620845,0.7297204,0.19923992,0.7559984,0.18498921,0.82869333,0.1800465,0.86169577,0.17201465,forehand
0.52151585,0.19001313,0.56169474,0.1868969,0.5147549,0.21207508,0.6351576,0.18980911,0.5164109,0.2383245,0.6937409,0.20807984,0.65372485,0.17751637,0.6671104,0.16677716,0.7311291,0.19099273,0.7564874,0.1848803,0.82955027,0.17418803,0.8577572,0.16584857,forehand
0.5165555,0.17963374,0.5600678,0.19604804,0.5111567,0.19529153,0.6279841,0.20806047,0.5049593,0.2265209,0.6807268,0.23222211,0.64732206,0.16920653,0.6633396,0.17268416,0.7297643,0.18934284,0.75596744,0.18497315,0.8254493,0.17585774,0.85146016,0.1581917,forehand
0.507151,0.17488058,0.55810523,0.20260672,0.52403265,0.17618158,0.61928153,0.2185671,0.51312107,0.20164204,0.6340915,0.25271297,0.64480215,0.16384281,0.6616947,0.1755917,0.7320157,0.187332,0.75405777,0.18666214,0.8253604,0.17260076,0.8420623,0.1561776,forehand
0.50005287,0.17350313,0.552044,0.20544764,0.52686185,0.18224278,0.59988683,0.22537705,0.5180484,0.20668237,0.5848895,0.25244588,0.64207304,0.16114552,0.6584961,0.17767593,0.7328148,0.18545198,0.7506586,0.18855065,0.8219647,0.17061034,0.8328335,0.15592596,forehand
0.49445647,0.17321214,0.542298,0.2088156,0.5287228,0.1833953,0.57855886,0.23024018,0.51930165,0.20872104,0.5474678,0.24608052,0.6416811,0.16121204,0.65612614,0.17941694,0.7311797,0.18202323,0.746162,0.1902807,0.8178314,0.16980763,0.8251826,0.15649351,forehand
0.4925239,0.1746814,0.53221226,0.20931017,0.4970133,0.172761,0.5502616,0.23743847,0.48743868,0.195749,0.5004281,0.24006805,0.6384519,0.16181368,0.6512038,0.18124843,0.726419,0.17949846,0.7374261,0.1923546,0.81137794,0.16922438,0.8148043,0.15759934,forehand
0.48870832,0.17569008,0.5196506,0.21188445,0.4940551,0.16167372,0.5259902,0.24160215,0.48924208,0.17887214,0.49449196,0.22978833,0.6345326,0.16259813,0.6449028,0.18326893,0.7257953,0.17940822,0.7280088,0.19495937,0.8141737,0.169496,0.8077401,0.16129439,forehand
0.48657167,0.17658603,0.5102719,0.21338964,0.48667094,0.15814349,0.4926007,0.23737447,0.46332237,0.18165782,0.47051448,0.22236434,0.63169456,0.16278018,0.6410195,0.18710871,0.7251268,0.17702325,0.7266022,0.1983523,0.8159491,0.16951719,0.8012199,0.17016266,forehand
0.48872688,0.17723979,0.5006986,0.21811764,0.5027608,0.15366538,0.49098507,0.226137,0.47618717,0.17283748,0.45121956,0.20809762,0.63319457,0.16485885,0.6419653,0.19082502,0.72580796,0.17506228,0.72561246,0.20088942,0.81377286,0.17017646,0.80016744,0.17541869,forehand
0.4867338,0.17772254,0.4930173,0.22113183,0.5042521,0.15201685,0.49218923,0.22323541,0.48431417,0.16276605,0.45381433,0.19222923,0.63177896,0.16948041,0.6399607,0.19571416,0.7256002,0.17613664,0.7262079,0.20532271,0.8126568,0.17437945,0.804719,0.18135752,forehand
