left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.5356793,0.46405607,0.5406368,0.50934565,0.6226078,0.45724368,0.62225026,0.49601808,0.60123944,0.43949476,0.6118916,0.47405583,0.6927629,0.47660002,0.6931777,0.5049965,0.8052382,0.45943385,0.79535294,0.50426817,0.92180616,0.46109033,0.9019477,0.5267164,neutral
0.5370684,0.4616255,0.5407943,0.5098803,0.6253048,0.45602638,0.624884,0.5099486,0.60435176,0.4402009,0.6142779,0.4905548,0.69243085,0.47650582,0.6927453,0.5051695,0.8048656,0.4585898,0.79585063,0.50437725,0.9209277,0.46082115,0.9033533,0.52336085,neutral
0.5373716,0.45865965,0.54167694,0.51013863,0.6268294,0.45119986,0.62509507,0.51721895,0.609606,0.4534741,0.61750716,0.49682927,0.694226,0.4760087,0.6928059,0.50512594,0.80474126,0.45406288,0.7962829,0.5041005,0.9207075,0.46058497,0.9052048,0.5240993,neutral
0.5410395,0.45881963,0.54663193,0.5104057,0.6307547,0.45092064,0.6280376,0.5201445,0.61610115,0.4558515,0.6222671,0.49859768,0.6977578,0.47485313,0.6944428,0.5046515,0.8031357,0.45025173,0.79718506,0.5046079,0.9206083,0.45957294,0.9090691,0.5249526,neutral
0.5450654,0.45782885,0.54882747,0.50997436,0.6323476,0.45084095,0.6269135,0.52174735,0.6170598,0.46024185,0.6280593,0.4982051,0.7004376,0.47401085,0.6966581,0.5035142,0.80037653,0.44611916,0.7990423,0.50519955,0.91771954,0.45822605,0.91313916,0.52513963,neutral
0.54734147,0.45598197,0.5497233,0.5098635,0.63440216,0.44979018,0.6273231,0.5219531,0.6146536,0.4598743,0.6312501,0.4977854,0.7016345,0.47285762,0.69941396,0.50255466,0.7933211,0.4393672,0.800857,0.5056751,0.9083301,0.45350638,0.91398937,0.525061,neutral
0.54813963,0.45472273,0.54962575,0.5091863,0.6349774,0.44909325,0.6266498,0.5223759,0.61696357,0.45835152,0.63109523,0.4971519,0.7013298,0.47203317,0.7000924,0.50169283,0.7847688,0.4340706,0.8017277,0.50608313,0.897799,0.44839174,0.9147093,0.5253677,neutral
0.5480229,0.45361573,0.54956764,0.50832343,0.6338545,0.44778872,0.62496257,0.5209612,0.626016,0.46001777,0.63459253,0.49776512,0.7000104,0.46930093,0.69975734,0.49978194,0.77758646,0.43116283,0.8016177,0.50627124,0.88735515,0.4432307,0.914916,0.52538544,neutral
0.54572,0.45166463,0.5481396,0.5067951,0.6298107,0.44730273,0.6240646,0.5192035,0.6294684,0.4621459,0.63389933,0.49692854,0.69642746,0.4650611,0.6970314,0.49663514,0.7749793,0.4290009,0.8007146,0.5064815,0.8862231,0.43518108,0.9150304,0.52533543,neutral
0.54235685,0.4480772,0.54441315,0.5042443,0.62676644,0.44361812,0.62372696,0.5185459,0.6365467,0.462411,0.63748515,0.49702206,0.69359803,0.46188968,0.694347,0.4941376,0.7751537,0.42660648,0.79825526,0.5066114,0.88524646,0.42696372,0.91414034,0.5254756,neutral
