left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.30365303,0.68889654,0.32533234,0.6676194,0.3669802,0.68372136,0.40305156,0.6541352,0.3437157,0.64540654,0.40582055,0.6241953,0.47628564,0.70404595,0.4777121,0.6887119,0.5909843,0.67942774,0.56942236,0.6658849,0.721984,0.6863917,0.67614394,0.6760172,backhand
0.30247548,0.68389356,0.3247274,0.66487527,0.35479,0.68458605,0.395926,0.64835113,0.34096718,0.6456124,0.40001106,0.62217087,0.47602114,0.6997694,0.47774515,0.68657815,0.5886492,0.67666465,0.5696315,0.6623338,0.7216704,0.6838681,0.67627376,0.66404366,backhand
0.30296507,0.6846961,0.32809916,0.6603669,0.3541103,0.6846958,0.39688766,0.6428454,0.33409122,0.6420556,0.39692646,0.621083,0.47646415,0.6975822,0.47779286,0.6828075,0.5895123,0.6754296,0.5689663,0.65588784,0.72116905,0.6837571,0.6758998,0.6457963,backhand
0.30333683,0.68529695,0.3382044,0.653379,0.35301453,0.6859483,0.39763176,0.6370206,0.325537,0.64413464,0.38719335,0.62011445,0.47677794,0.6954311,0.4780073,0.6782546,0.58937454,0.6748023,0.56985223,0.6505666,0.72063506,0.68428856,0.6751167,0.6323987,backhand
0.30318484,0.67778766,0.34259066,0.6494235,0.347417,0.6883892,0.39906693,0.63596284,0.32733697,0.6462091,0.37522745,0.6252578,0.47683227,0.6885394,0.4780691,0.67614263,0.5887553,0.6729173,0.57038254,0.64750737,0.7199789,0.6845778,0.67142934,0.6240307,backhand
0.30128992,0.6751574,0.3397629,0.6439549,0.34051865,0.6926044,0.39931434,0.63315934,0.31263787,0.64643836,0.3747643,0.62625164,0.47599298,0.68565357,0.4780599,0.66923404,0.5888131,0.67281085,0.5691985,0.64064467,0.7197661,0.6844541,0.66993016,0.6150652,backhand
0.301383,0.66980964,0.33844563,0.6413469,0.33724988,0.6971241,0.38608378,0.63225186,0.30561763,0.651617,0.35449523,0.6279444,0.47614673,0.6813682,0.47816306,0.6650853,0.5888802,0.6722083,0.56954527,0.6337673,0.71937615,0.68436515,0.6698405,0.61289483,backhand
0.30130136,0.6604379,0.3369448,0.6411325,0.33385977,0.6980315,0.38051403,0.63393116,0.30026916,0.6562691,0.35799706,0.6281476,0.47626325,0.67474806,0.4782264,0.6647362,0.5888941,0.6711325,0.5689927,0.6279279,0.71925235,0.68446904,0.6694323,0.6128768,backhand
0.30133632,0.66209465,0.332759,0.6345291,0.33341235,0.6983094,0.38259718,0.62979454,0.30490613,0.6591649,0.36625582,0.6267114,0.4763498,0.6705479,0.47825378,0.65570223,0.590488,0.66911554,0.5692779,0.6209419,0.719176,0.6845499,0.6719836,0.61111224,backhand
0.3057276,0.65638125,0.33299676,0.6278067,0.33846694,0.6982735,0.38508132,0.6280502,0.31250766,0.6612028,0.3703541,0.62536013,0.4788943,0.66550493,0.47862124,0.6508652,0.59061146,0.6663593,0.5679083,0.613874,0.7187163,0.68405443,0.67213905,0.60724765,backhand
0.32900703,0.6270479,0.32638878,0.63884187,0.3892601,0.6397995,0.36592633,0.6623712,0.37742516,0.62810445,0.3613522,0.66141933,0.48585168,0.64968854,0.48192322,0.6562208,0.5782672,0.62184596,0.56525946,0.6099868,0.70827746,0.64975226,0.6794519,0.63465387,backhand
0.33887112,0.6219696,0.32621548,0.6386017,0.40322804,0.6169797,0.36904463,0.658096,0.39791247,0.6140007,0.36306703,0.6565607,0.49047577,0.6493053,0.48586667,0.6504598,0.5894053,0.64508665,0.5637149,0.6035358,0.708942,0.66094077,0.6785067,0.6064216,backhand
0.33131847,0.63829553,0.35312054,0.6047551,0.4028105,0.63575983,0.41389868,0.6083015,0.3897123,0.63548553,0.4066059,0.607468,0.49056306,0.652912,0.49062842,0.6370136,0.5942972,0.6475723,0.56423473,0.59951144,0.7086887,0.6654316,0.67818266,0.6030957,backhand
0.35333517,0.60311663,0.34737647,0.62256336,0.42855215,0.59610766,0.39993206,0.66459024,0.43409783,0.6062783,0.4157055,0.6398313,0.49322087,0.6365094,0.48952928,0.6482534,0.57655174,0.6029565,0.59420925,0.6491567,0.68519217,0.6054479,0.7012928,0.67427635,backhand
0.34426028,0.62292,0.3485602,0.6070856,0.40267766,0.62894624,0.4060634,0.59787416,0.44495755,0.6185733,0.45448658,0.58738273,0.48795408,0.6398163,0.487176,0.64320505,0.57707334,0.6186615,0.5899696,0.64752,0.67920226,0.6046316,0.7042319,0.68001103,backhand
0.33926183,0.6181402,0.34618184,0.60804397,0.4007995,0.6417736,0.4082408,0.59420574,0.46431464,0.6268396,0.4624375,0.5695493,0.48379806,0.6370978,0.48324567,0.6409787,0.5761423,0.61904603,0.5870117,0.6474071,0.6788492,0.605619,0.7002987,0.68201923,backhand
0.33671895,0.61290085,0.344017,0.6127075,0.39651215,0.6324843,0.40732196,0.6029936,0.46708125,0.6262007,0.43783325,0.5760049,0.48147902,0.6356971,0.4816413,0.636745,0.58562696,0.6201885,0.5714351,0.614548,0.68489337,0.68063146,0.6812713,0.6107443,backhand
0.3365313,0.60469633,0.33327416,0.61728674,0.40255073,0.61697775,0.37751362,0.6100738,0.47436935,0.61732864,0.39606884,0.5825547,0.47974986,0.6329609,0.48008567,0.6364123,0.5875305,0.62626255,0.5686758,0.6133287,0.6807149,0.6862926,0.6704397,0.6070591,backhand
