left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.29858223,0.26469126,0.3062031,0.25403923,0.337112,0.26445308,0.36834598,0.23453805,0.31996426,0.2875793,0.3559277,0.27249324,0.46178508,0.23053496,0.47288284,0.23271005,0.5747426,0.24545057,0.59415734,0.24575953,0.68508214,0.22208841,0.7208409,0.21226044,forehand
0.3091852,0.27165344,0.3084354,0.24865797,0.32222763,0.297901,0.36803326,0.22855072,0.30055645,0.33831015,0.36098048,0.26358086,0.46848762,0.22905049,0.48103514,0.22715144,0.57613033,0.2459501,0.5970347,0.24448106,0.685272,0.22214022,0.7214102,0.21071883,forehand
0.3142488,0.2694146,0.31330442,0.2530401,0.33001685,0.30186817,0.3694686,0.2183932,0.2966653,0.3490416,0.36574244,0.25670224,0.4711823,0.2279541,0.48355052,0.22530694,0.5762358,0.2476209,0.6025811,0.24092193,0.67968774,0.22567716,0.724673,0.21076748,forehand
0.32092255,0.26921687,0.31846812,0.25220388,0.3334511,0.31492501,0.36984688,0.21172675,0.3079826,0.35894525,0.37268138,0.2459974,0.47225136,0.22586827,0.48417133,0.22231841,0.58148456,0.24748619,0.6061396,0.23973212,0.6783536,0.22666088,0.7310579,0.20947866,forehand
0.32716453,0.26828536,0.3249788,0.2543663,0.3538056,0.3177838,0.36962482,0.21562171,0.33972353,0.3598813,0.38732588,0.23031604,0.47243702,0.21951635,0.48567533,0.22215381,0.5817719,0.24569571,0.60657173,0.24042249,0.6750589,0.22899911,0.7315339,0.21096742,forehand
0.33483303,0.26542377,0.33493096,0.25457063,0.36190435,0.323209,0.37735114,0.21103668,0.36686698,0.3722822,0.40509143,0.2269702,0.47466928,0.21878827,0.49014038,0.22307257,0.5816071,0.24590251,0.60659266,0.23912938,0.67550445,0.23035316,0.73609537,0.21027069,forehand
0.33514598,0.25248903,0.35963038,0.28326923,0.37564802,0.22447345,0.3931877,0.2947456,0.414559,0.25388917,0.4056506,0.3217243,0.48069635,0.21518072,0.49933487,0.22476931,0.5798174,0.2460684,0.60804856,0.2404118,0.66369283,0.23068695,0.7363494,0.21159501,forehand
0.35198283,0.2747938,0.348055,0.2600793,0.3829124,0.3210793,0.39009708,0.2261875,0.40713623,0.36525482,0.42670408,0.22017935,0.48135525,0.21814063,0.4966825,0.22163048,0.58108586,0.24615335,0.6076264,0.23971227,0.66855085,0.2316318,0.7363687,0.21095583,forehand
0.36162156,0.28299898,0.35059655,0.25388452,0.39212325,0.32931358,0.39775547,0.2151041,0.41789198,0.37052217,0.45101777,0.2052255,0.4912225,0.22564156,0.49513325,0.2154487,0.5813468,0.25256374,0.60451347,0.23694241,0.6752665,0.23630302,0.73533475,0.21085504,forehand
0.3660277,0.28424752,0.35389474,0.25553966,0.3965692,0.3233148,0.405362,0.22094893,0.4236818,0.36136252,0.4735023,0.20269337,0.49631593,0.22854161,0.49658272,0.21727307,0.58706987,0.25202116,0.60474044,0.23861416,0.6806842,0.2389677,0.7303381,0.21184139,forehand
0.363701,0.27962345,0.35744524,0.256157,0.39805922,0.31734988,0.4200797,0.22287118,0.423693,0.3536467,0.49347243,0.20957883,0.4976864,0.23259595,0.49880582,0.22006658,0.5905688,0.2530698,0.60349023,0.24291527,0.6787208,0.2370102,0.7182687,0.2121735,forehand
0.3567878,0.27648106,0.36537328,0.25942308,0.3911885,0.29932263,0.44184232,0.2396899,0.41469455,0.3252353,0.5324511,0.22278807,0.488372,0.22881491,0.49789146,0.22105122,0.57863283,0.25371552,0.60539,0.24752906,0.6501049,0.22747199,0.71815765,0.21245416,forehand
0.3462141,0.25511196,0.37578872,0.27661672,0.38897082,0.25300246,0.45664656,0.26334327,0.41183582,0.27787307,0.54760385,0.2566112,0.4881131,0.21773943,0.5024556,0.23200807,0.5817927,0.24975185,0.6113116,0.24868564,0.6597226,0.23318532,0.719525,0.21184547,forehand
0.3366767,0.24299745,0.37872365,0.28360647,0.3869757,0.21216258,0.4651369,0.28870133,0.4348252,0.22166714,0.54566634,0.29933938,0.4892339,0.21601097,0.50410885,0.2393974,0.5742514,0.24439633,0.6104002,0.25452495,0.6631114,0.23406272,0.71664065,0.21229291,forehand
0.33140358,0.24143486,0.3789466,0.2894043,0.38682166,0.21509239,0.45548922,0.3076033,0.43167454,0.22694239,0.52161807,0.33132055,0.48581502,0.21597078,0.503141,0.24134092,0.57517487,0.24459521,0.6121682,0.25319448,0.6663665,0.2412442,0.71231556,0.21238594,forehand
0.33087635,0.24042475,0.375955,0.29160905,0.38412556,0.21729891,0.4448235,0.31740606,0.4239244,0.23202693,0.5117624,0.34738934,0.4858178,0.21737377,0.50325793,0.24347118,0.5759823,0.24512124,0.61297435,0.25557327,0.6666702,0.24052818,0.70809656,0.21265808,forehand
0.32769775,0.24176404,0.3723684,0.29377684,0.36051738,0.21616665,0.43631524,0.31623796,0.40657565,0.22848848,0.45232138,0.3328247,0.48581907,0.21902736,0.50268006,0.24748495,0.5786682,0.24548335,0.61278915,0.2604585,0.6681932,0.23999529,0.698449,0.21885017,forehand
0.32439408,0.24274285,0.36097845,0.29419196,0.35310018,0.21579392,0.40939283,0.3145192,0.40668368,0.21958844,0.42042428,0.3273977,0.48541433,0.22273764,0.49936944,0.25101218,0.5847698,0.24410014,0.60919374,0.26517394,0.6735819,0.23942411,0.6895584,0.2270416,forehand
0.31958735,0.24428694,0.35223517,0.29512358,0.35184225,0.21588676,0.40511474,0.316759,0.40672264,0.22142148,0.38636124,0.3137571,0.4838236,0.22685206,0.49393806,0.25585046,0.59289795,0.23993436,0.602953,0.2701882,0.68421745,0.23929217,0.67956245,0.2372094,forehand
0.31701592,0.24472657,0.34160486,0.29707175,0.34804183,0.21491995,0.38039216,0.3137423,0.40622875,0.21745363,0.3808208,0.31417337,0.4811775,0.22966456,0.4894562,0.25884706,0.59827137,0.23915759,0.5940322,0.2740526,0.68728423,0.24159977,0.67171675,0.24355817,forehand
