left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.26172656,0.5479287,0.29535076,0.58570075,0.31516522,0.512329,0.40575537,0.5731341,0.36889207,0.5303856,0.49754286,0.58146197,0.45037016,0.5239019,0.46064916,0.5472232,0.5715374,0.52538073,0.58243716,0.5470892,0.6817306,0.51328534,0.71950585,0.5483544,neutral
0.2604907,0.54820347,0.29758662,0.5884893,0.31104863,0.5116823,0.40820324,0.5759026,0.3673732,0.53024584,0.49246204,0.5776261,0.44703975,0.52317345,0.45996392,0.54714924,0.5704671,0.5237646,0.5822442,0.54711694,0.68233424,0.51192707,0.71941054,0.54808974,neutral
0.25946313,0.5474907,0.3001495,0.59183943,0.3063822,0.5105666,0.39856666,0.5787929,0.3660729,0.5297976,0.462987,0.5784398,0.44627815,0.5221952,0.45988315,0.5476067,0.5704531,0.52200615,0.58416766,0.5451896,0.68306226,0.5108533,0.72027427,0.54730433,neutral
0.25764427,0.54728705,0.30129287,0.59432155,0.30378118,0.50827765,0.3924166,0.57911575,0.365216,0.5279496,0.4342003,0.5786936,0.4446616,0.5217403,0.45917472,0.5487238,0.5694482,0.52118206,0.5844476,0.5452353,0.6837034,0.50955737,0.72149664,0.54696155,neutral
0.2567007,0.5472323,0.30358273,0.59649986,0.29991418,0.5053169,0.4034227,0.58255756,0.36217803,0.52582145,0.4338826,0.57715476,0.44239715,0.52132374,0.4590638,0.54902744,0.56831324,0.5192379,0.5849261,0.54536575,0.68386525,0.5066287,0.72237694,0.5468743,neutral
0.25659472,0.54645425,0.30567998,0.5975986,0.301957,0.503653,0.4048167,0.58428556,0.36055535,0.52534854,0.43089396,0.57761174,0.44242468,0.5206264,0.45909682,0.5489191,0.5681606,0.51587194,0.5859722,0.545431,0.6857286,0.503517,0.723599,0.5468107,neutral
0.2554466,0.5459608,0.3071801,0.5990376,0.3032494,0.5024812,0.4033672,0.5883099,0.35890198,0.5253406,0.42563656,0.5768644,0.4422582,0.52036655,0.45939875,0.5488385,0.5676271,0.51366323,0.58632755,0.5457078,0.6857657,0.49922594,0.72387695,0.5469111,neutral
0.25430566,0.54517454,0.30741838,0.6007947,0.30280393,0.5019362,0.40087155,0.5924765,0.3545525,0.52534974,0.4136707,0.57709277,0.44180992,0.52027416,0.45960587,0.5488771,0.5667568,0.51172554,0.5864995,0.54629683,0.6858292,0.4961636,0.7239451,0.54730046,neutral
0.253976,0.5442289,0.30745032,0.6013318,0.30290198,0.50041735,0.4003399,0.5928086,0.35395086,0.5250214,0.40978792,0.5774502,0.44138178,0.5202363,0.46035638,0.5489336,0.56488365,0.5111209,0.5865312,0.54706866,0.68490463,0.49251753,0.7240898,0.5474013,neutral
0.2534504,0.5427753,0.30731708,0.60213345,0.3042141,0.5005065,0.40092963,0.5925496,0.3525474,0.5242859,0.4030391,0.57757276,0.44153726,0.5198223,0.461758,0.54906696,0.5641461,0.5089718,0.5868257,0.54786897,0.68480647,0.48857754,0.72424,0.5474638,neutral
0.25260723,0.5421226,0.30729076,0.60289186,0.3070663,0.50095,0.40098348,0.5928112,0.3526438,0.52392197,0.4010805,0.5777096,0.4415948,0.519549,0.46274176,0.54982615,0.564302,0.5070834,0.58754903,0.5489913,0.68550074,0.4860269,0.72467965,0.54749686,neutral
0.25223428,0.54115164,0.3070434,0.60299575,0.30885902,0.501189,0.4004903,0.59297,0.35251868,0.5194627,0.3994424,0.5778253,0.44204026,0.51942164,0.4636442,0.55077136,0.56355023,0.50460064,0.5876262,0.54948187,0.6887929,0.4835379,0.72467107,0.5475215,neutral
0.2523811,0.54062766,0.30688614,0.60291564,0.31093988,0.50140876,0.40004408,0.5935069,0.34408954,0.5117067,0.3966551,0.5780932,0.44208547,0.5193812,0.4638287,0.55159855,0.56275266,0.50203645,0.5876021,0.54989445,0.6902761,0.4812409,0.7246552,0.54763097,neutral
0.2523196,0.5393903,0.30673608,0.60300004,0.3133845,0.5013008,0.39975655,0.59498346,0.35519055,0.5135554,0.39754423,0.5779367,0.4412482,0.5191824,0.46374252,0.55225843,0.5616425,0.50068295,0.58651036,0.5501536,0.69358295,0.47919112,0.72464126,0.54768264,neutral
0.25251043,0.5379116,0.30671513,0.6026603,0.32006133,0.5014354,0.39960065,0.5955491,0.36684006,0.5135979,0.3965527,0.57670456,0.44131327,0.51918536,0.46383378,0.5527141,0.5613558,0.49932456,0.58583087,0.5505527,0.69694436,0.47856817,0.7246397,0.5477313,neutral
0.25259283,0.5356454,0.3066349,0.6022645,0.32214817,0.5009928,0.39971223,0.5958331,0.3839293,0.50759226,0.40092742,0.571467,0.44143254,0.519076,0.4642015,0.5530859,0.561497,0.49801183,0.5858044,0.5508037,0.7021355,0.47727078,0.72463447,0.5478337,neutral
0.25286973,0.53385067,0.30658975,0.6020465,0.32561696,0.5003886,0.40020669,0.59612995,0.38912684,0.50501347,0.41424125,0.5704145,0.4420887,0.51894426,0.4645663,0.55322266,0.5618715,0.49678278,0.58585495,0.5513395,0.70696336,0.4769659,0.72476655,0.54800147,neutral
0.25378114,0.5329243,0.30603564,0.6018888,0.32930613,0.49966007,0.40041974,0.59605753,0.39870068,0.5002661,0.42586476,0.57125556,0.4437308,0.5188741,0.46468446,0.55317456,0.56297004,0.49598628,0.58586025,0.5514569,0.71107477,0.47867912,0.7247603,0.5482439,neutral
0.254366,0.5315001,0.30528387,0.6006705,0.32983696,0.49897924,0.39985704,0.59587646,0.401105,0.49858594,0.43013674,0.5725504,0.44653112,0.51884115,0.46490797,0.5531396,0.56631553,0.49553472,0.58608156,0.5514807,0.71720886,0.47957116,0.72469956,0.5486187,neutral
0.25556993,0.52967083,0.30374673,0.59788203,0.330156,0.49823865,0.3991595,0.59557235,0.40569615,0.49753475,0.43720734,0.5726097,0.44761896,0.51858,0.4648837,0.55309474,0.56819946,0.49571323,0.58605653,0.5514914,0.71773475,0.4815208,0.72375894,0.54922384,neutral
0.2560795,0.5272141,0.30017516,0.5951668,0.33149096,0.49720222,0.39816535,0.59487313,0.41125777,0.49642196,0.44623002,0.57463545,0.44795227,0.518209,0.46464667,0.55306554,0.5695637,0.49602804,0.58604205,0.5515355,0.7171394,0.4865273,0.7232584,0.5497718,neutral
0.25637907,0.5245965,0.29763758,0.59211934,0.33478978,0.4967428,0.39893448,0.5917844,0.41592717,0.49506626,0.46400213,0.57694256,0.44944733,0.5174626,0.4645475,0.5527185,0.5735707,0.4963893,0.5863116,0.5515784,0.71916527,0.49074593,0.72280586,0.54983556,neutral
0.25796515,0.5207372,0.29566205,0.58843005,0.33921725,0.49612537,0.4010845,0.5887526,0.42207676,0.49430007,0.47111067,0.5780682,0.4505146,0.5167208,0.46445957,0.5524193,0.5741249,0.49643093,0.5863357,0.551534,0.7180652,0.4942419,0.7217708,0.55001986,neutral
0.25926292,0.5167919,0.29302087,0.5859116,0.34366807,0.4955009,0.40152407,0.5869683,0.42463264,0.49419078,0.47765705,0.5813331,0.45178443,0.51602983,0.4643002,0.55219036,0.57671666,0.49789947,0.58684796,0.5518231,0.72202396,0.4978168,0.7203521,0.55028385,neutral
0.26148227,0.5124214,0.29358086,0.5820877,0.3438714,0.4899238,0.40143287,0.5861673,0.4287205,0.49146143,0.48556447,0.5827544,0.4552784,0.5151838,0.4644909,0.5511026,0.5892125,0.49945107,0.58865017,0.55158305,0.7339403,0.50276613,0.7202987,0.55177695,neutral
0.2617703,0.50848335,0.2931194,0.578489,0.34443536,0.48582178,0.40138507,0.58467895,0.42956755,0.48948187,0.49631754,0.58530617,0.4565979,0.51414144,0.4645109,0.54953206,0.5913031,0.5009124,0.58884305,0.5514746,0.73856753,0.5055266,0.7196079,0.55186206,neutral
0.26240808,0.504206,0.29285997,0.5744317,0.3473291,0.48220906,0.40172178,0.5838713,0.42926607,0.4876461,0.49580103,0.58838546,0.45987272,0.5130161,0.4651375,0.5483495,0.59645617,0.5017926,0.5900453,0.5514635,0.74657714,0.5072555,0.7199756,0.5518065,neutral
0.26598945,0.5003277,0.29305995,0.57077813,0.35040867,0.47756273,0.4024418,0.583509,0.43232644,0.4858153,0.49651837,0.59094334,0.46524903,0.5114735,0.46850976,0.5470902,0.6009549,0.5017711,0.5929386,0.55151254,0.7494519,0.51001513,0.7212082,0.5517901,neutral
0.27098277,0.4957294,0.2929836,0.5663487,0.35509267,0.47310582,0.4024815,0.58273154,0.43301433,0.48409933,0.49809906,0.59329075,0.4685209,0.5101749,0.4702729,0.5460305,0.60734046,0.5017351,0.59670055,0.55188125,0.7588499,0.5125799,0.72409344,0.55177295,neutral
0.27621898,0.4914527,0.29288688,0.56351465,0.36350974,0.46739593,0.4024492,0.5817924,0.43714553,0.4828693,0.495204,0.59465396,0.47240368,0.50817937,0.47274,0.5453509,0.6113151,0.5015744,0.6011223,0.5519145,0.7621376,0.5101187,0.72474974,0.5517352,neutral
