left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.4785368,0.10627097,0.47922528,0.1595222,0.5647884,0.105661154,0.55858225,0.17194861,0.6421565,0.1060829,0.6098659,0.1597819,0.6221823,0.14246699,0.6187784,0.17148614,0.6898046,0.1094777,0.7157743,0.15439081,0.8100463,0.12493555,0.75929284,0.19083771,backhand
0.48114097,0.09932216,0.48261943,0.1511553,0.568058,0.09371686,0.55996114,0.16523519,0.64791745,0.09354715,0.61086047,0.15653004,0.62223107,0.13778356,0.61679107,0.16582683,0.6924493,0.10733272,0.6946162,0.13527422,0.81035596,0.12506397,0.76290226,0.16942862,backhand
0.48553053,0.09323269,0.4880786,0.14204219,0.57136774,0.08419993,0.5702173,0.15801951,0.6483699,0.07444096,0.6200936,0.14381865,0.6222881,0.13203375,0.61689514,0.16033836,0.69190764,0.097211525,0.6855393,0.12599608,0.8051747,0.12317177,0.7663359,0.14880414,backhand
0.48609942,0.08841924,0.49266636,0.1354532,0.5709873,0.073582344,0.57409996,0.1409173,0.6387802,0.061468996,0.63724595,0.122289084,0.62181205,0.1298165,0.6162343,0.1561499,0.6907151,0.09152038,0.67088956,0.11483647,0.79934675,0.12155509,0.7617786,0.12889653,backhand
0.4871777,0.08291301,0.49578565,0.12779324,0.5698396,0.06585636,0.57660186,0.11887126,0.6390318,0.04754218,0.6416521,0.095857576,0.6216695,0.12603256,0.61424905,0.15103313,0.7017076,0.08562772,0.6494112,0.11277175,0.79972786,0.12096252,0.7174448,0.11058851,backhand
0.48845375,0.07732592,0.4989924,0.12066126,0.569414,0.056643702,0.57436067,0.107654944,0.63511133,0.034046374,0.63519853,0.075321496,0.621708,0.12346043,0.6132897,0.14559275,0.71203065,0.082059264,0.65770304,0.09872903,0.8002957,0.11929792,0.73724663,0.100179255,backhand
0.49018216,0.07262031,0.4990983,0.11357772,0.56887466,0.050667327,0.57312894,0.095957786,0.6330853,0.025892317,0.6343742,0.06278437,0.6247798,0.11712913,0.61369896,0.1402573,0.71861666,0.07521341,0.6611166,0.08666122,0.7989134,0.11775929,0.74861187,0.096198015,backhand
0.48997223,0.070262924,0.49986598,0.10918403,0.56635183,0.050055288,0.57246363,0.08930148,0.6251227,0.023659188,0.6307146,0.056584436,0.6262465,0.11365322,0.61408335,0.13438413,0.72260946,0.06936662,0.663011,0.084405355,0.79573035,0.116364755,0.7353919,0.08989938,backhand
0.4893282,0.06836338,0.50137234,0.10196211,0.56377274,0.04991715,0.5720972,0.08710778,0.61679405,0.0234605,0.6282765,0.053913146,0.6284588,0.10922861,0.6151462,0.1284922,0.7284734,0.06469451,0.6684268,0.07985165,0.7909736,0.113176025,0.7340255,0.09582411,backhand
0.48963526,0.065879,0.5010076,0.09726237,0.5659098,0.053438284,0.5778998,0.08967932,0.61707175,0.027643075,0.62602454,0.063433856,0.63143665,0.101044215,0.6180989,0.11956378,0.7344465,0.061645985,0.6782398,0.06980719,0.7916631,0.10978943,0.74029547,0.08846109,backhand
