left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.42810935,0.24408972,0.41696888,0.20848055,0.4756049,0.26942682,0.47976342,0.20107937,0.46258718,0.27028722,0.48865125,0.23291692,0.54004997,0.19740972,0.54199475,0.17837605,0.6234343,0.231046,0.6317698,0.2236875,0.69704795,0.19237438,0.7486116,0.19173393,forehand
0.42881054,0.2436873,0.41767952,0.21391757,0.4716255,0.2722049,0.46382144,0.1993183,0.4617522,0.2704863,0.48516658,0.20737803,0.5398622,0.19878247,0.5417474,0.18144403,0.62304944,0.24210759,0.62929314,0.22438326,0.68090945,0.19461606,0.7463273,0.19420296,forehand
0.43272403,0.24560115,0.41784868,0.22344764,0.4733173,0.2625317,0.45550334,0.22746453,0.47027496,0.27246466,0.45219392,0.24663284,0.5403508,0.2043953,0.5416548,0.1838767,0.62044036,0.24583311,0.6299699,0.22394316,0.6825048,0.20864987,0.7473449,0.19445232,forehand
0.43989393,0.25815016,0.42472246,0.2197145,0.47429898,0.2835121,0.4528311,0.1950843,0.4803996,0.2885179,0.4726871,0.17833766,0.54295313,0.20961055,0.5423691,0.18675712,0.62276834,0.24858062,0.63060784,0.22401603,0.68797207,0.21994683,0.74827254,0.19502912,forehand
0.45048013,0.2595113,0.4295344,0.22092679,0.47498694,0.28447607,0.46093687,0.19142926,0.48836437,0.2943933,0.47849432,0.16489288,0.55178267,0.20886576,0.5479579,0.18746445,0.6225327,0.25449136,0.6300211,0.22618464,0.6994388,0.23471296,0.74541366,0.19614866,forehand
0.45486504,0.26349026,0.43525547,0.22016534,0.47541085,0.28860915,0.46488273,0.18546078,0.49640524,0.30155548,0.4868906,0.15700307,0.5527762,0.21391055,0.55096066,0.19000581,0.62125653,0.2584481,0.62928206,0.22838466,0.70643944,0.25193435,0.74579847,0.19664249,forehand
0.45756966,0.26591772,0.44067103,0.219435,0.4824897,0.29401734,0.4660459,0.18216042,0.50513816,0.30866677,0.50568134,0.15349822,0.55731386,0.21657693,0.5534893,0.1915096,0.6214953,0.26273072,0.6308989,0.23019822,0.70935297,0.25482586,0.7435656,0.19716355,forehand
0.45361435,0.2650655,0.44806382,0.22458526,0.48327178,0.2895922,0.48739776,0.19875266,0.5062694,0.30607247,0.53284043,0.18705645,0.5562198,0.22104552,0.557819,0.2025733,0.62163776,0.26843303,0.63751847,0.24152832,0.7093433,0.25543314,0.74064916,0.19886893,forehand
0.4538236,0.26561484,0.4478888,0.22801766,0.48413298,0.29079905,0.49713334,0.19518247,0.5090384,0.3084064,0.5576405,0.17653237,0.5583386,0.22762899,0.5601528,0.20669074,0.62005365,0.2743289,0.63989437,0.24847777,0.70898384,0.25369766,0.7380385,0.2022815,forehand
0.43792054,0.24963787,0.45018023,0.24906978,0.48327705,0.24918708,0.5023343,0.2573647,0.5083998,0.28121954,0.508268,0.2829513,0.55613625,0.22359788,0.56047213,0.2173321,0.6187228,0.27355695,0.64582074,0.25251347,0.70842963,0.2578811,0.7386244,0.20317204,forehand
0.4336593,0.2502108,0.4391651,0.25290856,0.48221716,0.25836754,0.50360453,0.24463849,0.47561926,0.28234297,0.5435515,0.24646556,0.55600905,0.22892532,0.56109774,0.22793725,0.6118404,0.2797366,0.64950395,0.25787133,0.6988641,0.25716162,0.7370597,0.20644526,forehand
0.41433036,0.24126486,0.44340372,0.25948644,0.46506804,0.23047471,0.51374483,0.26105383,0.47289127,0.24641256,0.572457,0.27719125,0.54943395,0.22712687,0.56055033,0.23699534,0.60168296,0.27553678,0.6496081,0.2631059,0.6919083,0.2575306,0.7315184,0.21159363,forehand
0.4060098,0.23136497,0.4431936,0.26376295,0.44881892,0.22126503,0.50889933,0.28343233,0.45699307,0.23922119,0.55136997,0.31233758,0.54383844,0.22781089,0.5600716,0.24344894,0.6000376,0.27411282,0.6502323,0.26209837,0.69292575,0.26025558,0.7307412,0.21610864,forehand
0.4053876,0.22443132,0.43505093,0.26574144,0.44691166,0.21989605,0.48915192,0.293473,0.45072344,0.23844416,0.48865783,0.32272744,0.54311246,0.22762993,0.5571455,0.24722283,0.59652716,0.2748137,0.64969444,0.26519594,0.69086295,0.26201996,0.7239023,0.22328922,forehand
0.4037651,0.22418842,0.42608252,0.26960567,0.4393982,0.22145894,0.46514642,0.303842,0.42750794,0.23955274,0.42840737,0.32227206,0.54331595,0.23067662,0.5550714,0.2521702,0.58964556,0.2739259,0.6482498,0.26731795,0.68183553,0.26020887,0.71891445,0.22864659,forehand
0.3997189,0.22687297,0.41335014,0.2716428,0.4478163,0.23181832,0.43332344,0.30674374,0.4617887,0.24668583,0.38743222,0.30669636,0.54280794,0.23451307,0.5515622,0.25633425,0.59485924,0.27204686,0.6433645,0.26902816,0.68338126,0.26126507,0.71696955,0.2349941,forehand
0.3959692,0.22858898,0.39650348,0.27277005,0.42341134,0.22320692,0.39592633,0.30215228,0.43267933,0.23769805,0.36760804,0.28655124,0.5388332,0.2388056,0.5440904,0.26105705,0.59768975,0.27117485,0.63448524,0.2728537,0.6845296,0.26363564,0.71197426,0.24340586,forehand
0.39333406,0.22997895,0.38158697,0.27721962,0.415899,0.22215223,0.3769977,0.29544878,0.42225224,0.23496112,0.3629601,0.2825219,0.536539,0.24353158,0.53857434,0.265767,0.6050802,0.27232847,0.6271724,0.2783691,0.68498826,0.26395842,0.7027314,0.25170708,forehand
0.38448933,0.23123257,0.37626374,0.2767416,0.43008977,0.21799362,0.40763062,0.29165024,0.42893112,0.2298317,0.40283778,0.2665436,0.5300637,0.24537984,0.53013337,0.26850194,0.6036619,0.27217078,0.6222891,0.28520396,0.6812759,0.2653705,0.7004339,0.25677964,forehand
0.3825548,0.23180144,0.37582317,0.27831167,0.41300976,0.21845572,0.4032081,0.2712217,0.38822466,0.22556034,0.3833227,0.24094364,0.5302561,0.249518,0.5305535,0.27322283,0.6007225,0.27294064,0.62094784,0.29017016,0.6782754,0.26773882,0.7014308,0.2622895,forehand
0.37742475,0.23445389,0.37314868,0.27798197,0.39026392,0.22332625,0.3752914,0.2596788,0.38290724,0.22587876,0.37416017,0.23330581,0.5305043,0.25036272,0.5311405,0.27419043,0.60021436,0.27303204,0.616588,0.29487205,0.6792223,0.2657325,0.695926,0.2676974,forehand
0.3777808,0.23492244,0.3748443,0.27759594,0.3967326,0.22377798,0.37865892,0.25657108,0.3816506,0.22842567,0.37189472,0.23497534,0.530801,0.2517389,0.5309813,0.27564108,0.6002516,0.27279207,0.6138779,0.2984332,0.6806236,0.26434934,0.6917571,0.27300912,forehand
0.38043442,0.23510389,0.37334007,0.27902406,0.42263976,0.22666109,0.39499024,0.25594825,0.39517745,0.2314975,0.37712833,0.23564968,0.5303878,0.25316685,0.52970797,0.27751547,0.6055031,0.2717064,0.61233634,0.30029082,0.6807886,0.26370865,0.6933772,0.2799009,forehand
0.38157302,0.23515172,0.3741641,0.27919343,0.43009478,0.22685632,0.40314463,0.2565649,0.40133217,0.23297727,0.37745646,0.23647574,0.5304768,0.2552798,0.5292905,0.27985376,0.60674036,0.27181497,0.61203,0.30380243,0.6838745,0.2633043,0.69532716,0.28933936,forehand
0.38351068,0.23518594,0.37713054,0.28100425,0.45106393,0.22717893,0.43578693,0.26042598,0.40307707,0.23256798,0.41591313,0.24004564,0.5309892,0.25618866,0.52984995,0.28174835,0.60358906,0.27225193,0.611856,0.30537933,0.68566316,0.26311296,0.7060643,0.29654866,forehand
0.38382035,0.23600844,0.37946883,0.28464848,0.45662224,0.22743388,0.44135955,0.26407665,0.40330213,0.23248589,0.41885206,0.24287133,0.53127956,0.25773376,0.5307609,0.28287897,0.60311544,0.27221864,0.6129799,0.30681542,0.6928021,0.2629195,0.71327716,0.3035109,forehand
0.38398883,0.23754871,0.38064498,0.28756094,0.4599803,0.22926214,0.45456773,0.2728514,0.44723612,0.23748243,0.45518646,0.25632477,0.531427,0.25920525,0.53132004,0.28486153,0.60243374,0.27203125,0.6140796,0.30983597,0.69478494,0.26281077,0.71410155,0.30845755,forehand
0.38523623,0.24093354,0.38128963,0.28874594,0.45563856,0.229354,0.45841014,0.2770912,0.45128825,0.23774913,0.46574834,0.26106635,0.5318724,0.2602915,0.53168416,0.2858856,0.60163456,0.2723182,0.6147287,0.3124652,0.6941955,0.26274115,0.7144851,0.31010818,forehand
0.38574257,0.24297962,0.38195342,0.29184714,0.4537686,0.22973411,0.4600182,0.28287703,0.4587808,0.2373158,0.46599185,0.26665956,0.53211045,0.26109943,0.53179866,0.28743267,0.60166967,0.27205062,0.6150495,0.31415161,0.69393575,0.26267174,0.71609396,0.31064466,forehand
0.38627303,0.24327675,0.3823484,0.29438236,0.4569613,0.22981687,0.45819235,0.28912276,0.46670562,0.24313502,0.46580553,0.27849284,0.5322618,0.26143673,0.5315288,0.28802687,0.6018491,0.27100435,0.61524063,0.3157885,0.69436496,0.26203698,0.7197249,0.31024128,forehand
