left_shoulder_y,left_shoulder_x,right_shoulder_y,right_shoulder_x,left_elbow_y,left_elbow_x,right_elbow_y,right_elbow_x,left_wrist_y,left_wrist_x,right_wrist_y,right_wrist_x,left_hip_y,left_hip_x,right_hip_y,right_hip_x,left_knee_y,left_knee_x,right_knee_y,right_knee_x,left_ankle_y,left_ankle_x,right_ankle_y,right_ankle_x,shot
0.36613235,0.40272346,0.3692317,0.4802192,0.47340015,0.39036432,0.46263784,0.49569568,0.4570632,0.41175658,0.48025084,0.46510404,0.5618378,0.4251515,0.55609757,0.4676597,0.68659866,0.40799952,0.6765538,0.4938028,0.8404135,0.39179522,0.8085398,0.522623,neutral
0.35527995,0.39924946,0.3681217,0.4786489,0.46333173,0.38487202,0.4586168,0.4968756,0.46229383,0.4120291,0.4759937,0.46444187,0.5522608,0.41871762,0.54691845,0.46117172,0.686476,0.40308458,0.6753797,0.49224216,0.8432077,0.3886003,0.81155556,0.521181,neutral
0.34969926,0.3962613,0.36349434,0.47594532,0.45512372,0.37942436,0.45600095,0.49483928,0.46531206,0.4126181,0.47600484,0.46317816,0.54617625,0.41453654,0.5417239,0.4582147,0.6849573,0.39630514,0.6751945,0.48897117,0.841459,0.38729,0.8157045,0.5158377,neutral
0.34358436,0.3939469,0.3558005,0.47308907,0.4492325,0.3774752,0.45443124,0.4933668,0.464296,0.4116335,0.47704485,0.45937744,0.54134923,0.41119766,0.5390578,0.4562595,0.68415016,0.38927323,0.67586786,0.48487163,0.8401953,0.38253567,0.82214814,0.50613856,neutral
0.3405569,0.392133,0.3528193,0.47096252,0.44749975,0.3762892,0.4541583,0.49091882,0.4616442,0.410817,0.47703034,0.45762396,0.5371043,0.4079771,0.53649956,0.45516485,0.6826888,0.3830113,0.67590195,0.4795031,0.8386307,0.37593243,0.827959,0.49670887,neutral
0.34032592,0.39086536,0.35122585,0.46952987,0.44783902,0.3754503,0.45333803,0.4895855,0.45877922,0.4100651,0.48057795,0.45725495,0.5350544,0.4064745,0.53547084,0.45411125,0.6822704,0.37817922,0.67949706,0.47418323,0.8384318,0.36763045,0.8345983,0.48722377,neutral
0.3421224,0.38865274,0.35069785,0.46686888,0.4490786,0.37408715,0.45267436,0.48883444,0.46523714,0.4061026,0.4871076,0.45688924,0.5370275,0.40527362,0.53620476,0.45149127,0.6838978,0.37551445,0.6848575,0.47021884,0.8402053,0.35630506,0.842455,0.47732505,neutral
0.34666947,0.38652757,0.35306358,0.46558267,0.45891955,0.3721182,0.46087584,0.48581234,0.47157922,0.4043134,0.49272078,0.45609808,0.5439433,0.40357533,0.5455669,0.44928306,0.69136137,0.37321523,0.6938207,0.4691299,0.849528,0.34755364,0.8490177,0.47454625,neutral
0.35542,0.3845001,0.35935208,0.46410412,0.46833,0.37085888,0.4717563,0.48239636,0.48538586,0.4030121,0.50345635,0.45429927,0.55413896,0.40126532,0.55486023,0.4477045,0.70405823,0.3710193,0.7017234,0.46825895,0.85495543,0.33755368,0.8609731,0.47588953,neutral
0.365738,0.38236913,0.368819,0.46241203,0.4805857,0.3693654,0.48284307,0.479113,0.4991403,0.40077743,0.513263,0.4512206,0.57165825,0.39880246,0.57154226,0.44538388,0.72126585,0.36810708,0.7138124,0.46887845,0.86516994,0.33008954,0.86764604,0.47472864,neutral
