Shot,Frame
Forehand,25
Backhand,103
Backhand,187
Backhand,265
Backhand,339
Backhand,533
Backhand,623
Forehand,716
Backhand,795
Backhand,869
Forehand,946
Forehand,1024
Forehand,1114
Forehand,1192
Forehand,1276
Forehand,1359
Forehand,1445
Backhand,1596
Forehand,1677
Forehand,1763
Forehand,1841
Backhand,1931
Forehand,2016
Backhand,2422
Backhand,2516
Forehand,2599
Backhand,2680
Backhand,2776
Backhand,2850
Forehand,3030
Forehand,3117
Backhand,3201
Forehand,3276
Backhand,3352
Forehand,3508
Forehand,3589
