Shot,Frame
Backhand,95
Forehand,222
Backhand,327
Forehand,425
Backhand,522
Backhand,617
Backhand,709
Backhand,794
Backhand,881
Forehand,961
Backhand,1049
Forehand,1147
Forehand,1226
Forehand,1314
Backhand,1398
Backhand,1493
Backhand,1579
Backhand,1663
Backhand,1743
Forehand,1849
Forehand,1931
Forehand,2011
Backhand,2137
Backhand,2218
Backhand,2298
Forehand,2376
Forehand,2467
Backhand,2547
Forehand,2623
Forehand,2698
Forehand,2778
Forehand,2864
Backhand,3046
Backhand,3125
Forehand,3199
Backhand,3275
Forehand,3351
Forehand,3428
Forehand,3544
